"求人ID","Newフラグ","トピックスフラグ","テーマ","外資フラグ","ベンチャーフラグ","上場フラグ","リンク（面接官）","リンク（トピックス）","職種大分類コード1","職種中分類コード1","職種大分類名1","職種中分類名1","職種大分類コード2","職種中分類コード2","職種大分類名2","職種中分類名2","職種大分類コード3","職種中分類コード3","職種大分類名3","職種中分類名3","会社名（トピックス用）","職種名","職務内容","求めるスキル（必須条件）","求めるスキル（望ましい条件）","英語レベル","TOEIC","求める人物像","活かせる経験","都道府県1","市区町村1","都道府県2","市区町村2","学歴","年齢下限","年齢上限","年収下限","年収上限","募集背景","企業ID","業種カテゴリ","会社情報（紹介文）","会社情報（その他捕捉）","会社情報（設立）年","会社情報（設立）月","会社情報（資本金）万円","会社情報（従業員数）","企業県名","企業市区町村","ｺﾝｻﾙから一言","担当者","掲載日"
"113089","1","0","ハイクラス","","","上場","","","02","01","ビジネスコンサルタント","経営戦略系","02","06","ビジネスコンサルタント","その他","08","01","営業","営業管理職","エムスリー株式会社","コンサルタント","自社サービスの顧客（主に製薬会社）に対する、eマーケティング戦略コンサルティング。長期的には、製薬業界における新たなマーケティングツール、サービスの企画、事業化も。具体的には：年間売上1億円以上のアカウントを複数社担当、担当クライアント、担当製品に対する、eマーケティング戦略の企画立案、自社サービスを活用したeマーケティング推進の為の、担当クライアントへの継続的なサポート、新規顧客開拓サービス導入の提案、プレゼンテーションなど","戦略系コンサルタント経験のある方。アカウントマネジメントができる方　マーケティング戦略の立案、実施経験があること：客観的な事象やデータに基づき、論理的に考える力のある方","医療、製薬業界の経験は望ましいですが、必須ではありません　業界を問わず、プロダクトマネージャー等の立場で、担当商品のマーケティングプラン立案から売上達成までを通して関わった方","------","","コミュニケーション能力、プレゼンテーション能力","製薬会社でマーケティング企画、営業企画経験がある方　など","東京都","港区","","","大卒以上","25","35","500","1800","事業拡大に伴う増員です","210621","インターネット","インターネットを利用した医療関連サービスの提供。メインクライアントは大手製薬会社（現在28社）及び医師。日本最大の医療従事者向けポータルサイトを持ち医師会員18.8万人、薬剤師会員7.0万人のデータベースを武器に躍進しています。「インターネットを活用して、健康で長生きできる人を一人でも増やし、不必要な医療コストを一円でも減らすこと」それが願いであり、事業の目的でもあります。","1.医療従事者会員向けサービス／医療関連企業マーケティング支援：「m3.com」は日本の医師（25万人）の半数以上が利用する国内最大（唯一）の医療情報ポータルサイト。医師15万人を含む30万人の医療従事者が会員。・情報サービスとして医療ニュース、検索サービス、文献検索、法律相談、掲示板、等。・「MR君」　医師と製薬会社を結ぶ医薬品情報の双方向サービス。音声、動画も利用。・「QOL君」　医師の生活に役立つライフスタイル（非医療分野）支援サービス。・医師・看護師・薬剤師転職サイト、医師・看護師コミュニティサイト、セレクトショップ運営。2.一般向けサービス：「AskDoctors」会員の医師があらゆる質問に回答。利用者18万人。3.調査分野：「リサーチ君」日本最大の医師パネルに対して実施するアンケート調査。4.海外展開：米国、韓国の有名医療ポータルサイトをM＆Aにより子会社化","2000","9","118757","83","東京都","港区芝大門2-5-5　住友不動産芝大門ビル12Ｆ","既成概念にとらわれない発想力、柔軟性、「人間関係」ではなく「問題解決」志向であること","上條","2010/07/16 11:27:35"
"1006031","1","0","ハイクラス","","","上場","","","08","04","営業","企画営業","04","01","マーケティング・広報・IR","マーケティング","","","","","エムスリー株式会社","セールス&プロモーションプランナー","製薬企業を中心としたプロモーションサービスの企画提案営業。eメール型プロモーションツール（ターゲットメール、バナー広告）の提案営業。また、単なる枠売りではなく、クライアントの製品戦略等のニーズに合わせ、コンテンツや紙資材などの多岐にわたるツールを活用し、プロモーション全般をサポートします。その他新製品の企画提案営業。","Web広告媒体営業の経験3年程度、上記以外のソリューション営業・提案営業経験、インターネットマーケティングに関する知識","","------","","地頭が良くコミュニケーション力のある方","Web広告媒体営業の経験3年程度","東京都","港区","","","大卒以上","27","30","500","1000","事業拡大に伴う増員","210621","インターネット","インターネットを利用した医療関連サービスの提供。メインクライアントは大手製薬会社（現在28社）及び医師。日本最大の医療従事者向けポータルサイトを持ち医師会員18.8万人、薬剤師会員7.0万人のデータベースを武器に躍進しています。「インターネットを活用して、健康で長生きできる人を一人でも増やし、不必要な医療コストを一円でも減らすこと」それが願いであり、事業の目的でもあります。","1.医療従事者会員向けサービス／医療関連企業マーケティング支援：「m3.com」は日本の医師（25万人）の半数以上が利用する国内最大（唯一）の医療情報ポータルサイト。医師15万人を含む30万人の医療従事者が会員。・情報サービスとして医療ニュース、検索サービス、文献検索、法律相談、掲示板、等。・「MR君」　医師と製薬会社を結ぶ医薬品情報の双方向サービス。音声、動画も利用。・「QOL君」　医師の生活に役立つライフスタイル（非医療分野）支援サービス。・医師・看護師・薬剤師転職サイト、医師・看護師コミュニティサイト、セレクトショップ運営。2.一般向けサービス：「AskDoctors」会員の医師があらゆる質問に回答。利用者18万人。3.調査分野：「リサーチ君」日本最大の医師パネルに対して実施するアンケート調査。4.海外展開：米国、韓国の有名医療ポータルサイトをM＆Aにより子会社化","2000","9","118757","83","東京都","港区芝大門2-5-5　住友不動産芝大門ビル12Ｆ","潜在顧客が直面している営業上の難しさ、苦労、問題点が分かり、それを解決することに面白さを見出してもらえる人を求めています。","上條","2010/07/16 11:27:34"
"1006294","1","0","","","","上場","","","08","04","営業","企画営業","04","01","マーケティング・広報・IR","マーケティング","","","","","エムスリー株式会社","リサーチセールス&プランナー","製薬企業を中心とした、リサーチの企画提案営業。マルチクライアント型調査レポート営業、製薬企業への調査企画提案、実施、レポートまで。","製薬企業において、マーケティングリサーチの企画経験、製薬業界のリサーチ企業において、マーケティングリサーチ企画営業経験","","------","","コミュニケーション能力のある方","製薬企業において、マーケティングリサーチの企画経験","東京都","港区","","","大卒以上","25","30","500","800","事業拡大に伴う増員","210621","インターネット","インターネットを利用した医療関連サービスの提供。メインクライアントは大手製薬会社（現在28社）及び医師。日本最大の医療従事者向けポータルサイトを持ち医師会員18.8万人、薬剤師会員7.0万人のデータベースを武器に躍進しています。「インターネットを活用して、健康で長生きできる人を一人でも増やし、不必要な医療コストを一円でも減らすこと」それが願いであり、事業の目的でもあります。","1.医療従事者会員向けサービス／医療関連企業マーケティング支援：「m3.com」は日本の医師（25万人）の半数以上が利用する国内最大（唯一）の医療情報ポータルサイト。医師15万人を含む30万人の医療従事者が会員。・情報サービスとして医療ニュース、検索サービス、文献検索、法律相談、掲示板、等。・「MR君」　医師と製薬会社を結ぶ医薬品情報の双方向サービス。音声、動画も利用。・「QOL君」　医師の生活に役立つライフスタイル（非医療分野）支援サービス。・医師・看護師・薬剤師転職サイト、医師・看護師コミュニティサイト、セレクトショップ運営。2.一般向けサービス：「AskDoctors」会員の医師があらゆる質問に回答。利用者18万人。3.調査分野：「リサーチ君」日本最大の医師パネルに対して実施するアンケート調査。4.海外展開：米国、韓国の有名医療ポータルサイトをM＆Aにより子会社化","2000","9","118757","83","東京都","港区芝大門2-5-5　住友不動産芝大門ビル12Ｆ","クライアントへ自ら出向き、ヒアリングをして、調査を設計することが求められますので、営業力も含めた、スキルのバランスを求めております。","上條","2010/07/16 11:27:32"
"1007084","1","0","","","","上場","","","11","00","WEB・モバイル関連","","11","00","WEB・モバイル関連","","","","","","エムスリー株式会社","プロモーター","メールサービスを向上させる企画～展開・実施。利用企業と、現場のMRがより活用するための施策の企画・提案。オペレーション、効果測定、品質管理。運営のための業務フロー設計、運用、改善。","プロモーションサイトの企画～ディレクション業務経験。サイト構築・メルマガ制作（ライティング）の経験。インターネットマーケティングやプロモーションに関する知識。","","------","","地頭が良くコミュニケーション力のある方","プロモーションサイトの企画～ディレクション業務経験","東京都","港区","","","大卒以上","25","28","400","600","事業拡大に伴う増員","210621","インターネット","インターネットを利用した医療関連サービスの提供。メインクライアントは大手製薬会社（現在28社）及び医師。日本最大の医療従事者向けポータルサイトを持ち医師会員18.8万人、薬剤師会員7.0万人のデータベースを武器に躍進しています。「インターネットを活用して、健康で長生きできる人を一人でも増やし、不必要な医療コストを一円でも減らすこと」それが願いであり、事業の目的でもあります。","1.医療従事者会員向けサービス／医療関連企業マーケティング支援：「m3.com」は日本の医師（25万人）の半数以上が利用する国内最大（唯一）の医療情報ポータルサイト。医師15万人を含む30万人の医療従事者が会員。・情報サービスとして医療ニュース、検索サービス、文献検索、法律相談、掲示板、等。・「MR君」　医師と製薬会社を結ぶ医薬品情報の双方向サービス。音声、動画も利用。・「QOL君」　医師の生活に役立つライフスタイル（非医療分野）支援サービス。・医師・看護師・薬剤師転職サイト、医師・看護師コミュニティサイト、セレクトショップ運営。2.一般向けサービス：「AskDoctors」会員の医師があらゆる質問に回答。利用者18万人。3.調査分野：「リサーチ君」日本最大の医師パネルに対して実施するアンケート調査。4.海外展開：米国、韓国の有名医療ポータルサイトをM＆Aにより子会社化","2000","9","118757","83","東京都","港区芝大門2-5-5　住友不動産芝大門ビル12Ｆ","幅広い業務に対して、好奇心をもって前向きに取り組むことができる能力のある方を求めます","上條","2010/07/16 11:27:32"
"1007860","1","0","ハイクラス","","","上場","","","08","07","営業","その他","04","01","マーケティング・広報・IR","マーケティング","","","","","エムスリー株式会社","コンテンツプロデューサー（製薬業界経験者）","自社サイトで展開する医療コンテンツの企画・提案～製作管理。マーケティング戦略をもとにした医療コンテンツの企画・提案。ライター、Webデザイナー、制作プロダクション、監修医、出演するオピニオンリーダー等の選定、ディレクション","製薬会社でのMR経験3年以上（大学病院または都心エリア等の担当経験）またはプロダクトマネージャー経験者。広範囲かつ専門的な医薬品の知識、製薬会社のマーケティングの知識。高いPCスキルおよび画像関連、インターネットに興味が強い方","","------","","地頭が良くコミュニケーション力の高い方","製薬会社でのＭＲ経験","東京都","港区","","","大卒以上","27","33","500","900","事業拡大に伴う増員","210621","インターネット","インターネットを利用した医療関連サービスの提供。メインクライアントは大手製薬会社（現在28社）及び医師。日本最大の医療従事者向けポータルサイトを持ち医師会員18.8万人、薬剤師会員7.0万人のデータベースを武器に躍進しています。「インターネットを活用して、健康で長生きできる人を一人でも増やし、不必要な医療コストを一円でも減らすこと」それが願いであり、事業の目的でもあります。","1.医療従事者会員向けサービス／医療関連企業マーケティング支援：「m3.com」は日本の医師（25万人）の半数以上が利用する国内最大（唯一）の医療情報ポータルサイト。医師15万人を含む30万人の医療従事者が会員。・情報サービスとして医療ニュース、検索サービス、文献検索、法律相談、掲示板、等。・「MR君」　医師と製薬会社を結ぶ医薬品情報の双方向サービス。音声、動画も利用。・「QOL君」　医師の生活に役立つライフスタイル（非医療分野）支援サービス。・医師・看護師・薬剤師転職サイト、医師・看護師コミュニティサイト、セレクトショップ運営。2.一般向けサービス：「AskDoctors」会員の医師があらゆる質問に回答。利用者18万人。3.調査分野：「リサーチ君」日本最大の医師パネルに対して実施するアンケート調査。4.海外展開：米国、韓国の有名医療ポータルサイトをM＆Aにより子会社化","2000","9","118757","83","東京都","港区芝大門2-5-5　住友不動産芝大門ビル12Ｆ","幅広い業務に対して、好奇心をもって前向きに取り組むことができる能力のある方を求めます。","上條","2010/07/16 11:27:30"
"1007861","1","0","","","","上場","","","16","00","その他","","","","","","","","","","エムスリー株式会社","コンテンツプロデューサー","自社サイトで展開する医療コンテンツの企画・提案～製作管理。マーケティング戦略をもとにした医療コンテンツの企画・提案。ライター、Webデザイナー、制作プロダクション、監修医、出演するオピニオンリーダー等の選定、ディレクション。効果測定、品質管理、新企画提案、システム改善等。","製薬会社でのMR経験3年以上（大学病院または都心エリア等の担当経験）またはプロダクトマネージャー経験者。広範囲かつ専門的な医薬品の知識、製薬会社のマーケティングの知識。高いPCスキルおよび画像関連、インターネットに興味が強い方","","------","","コミュニケーション力のある方","プロモーションサイト、CM、Web広告等の企画～実施までの経験者","東京都","港区","","","大卒以上","27","32","400","800","事業拡大に伴う増員","210621","インターネット","インターネットを利用した医療関連サービスの提供。メインクライアントは大手製薬会社（現在28社）及び医師。日本最大の医療従事者向けポータルサイトを持ち医師会員18.8万人、薬剤師会員7.0万人のデータベースを武器に躍進しています。「インターネットを活用して、健康で長生きできる人を一人でも増やし、不必要な医療コストを一円でも減らすこと」それが願いであり、事業の目的でもあります。","1.医療従事者会員向けサービス／医療関連企業マーケティング支援：「m3.com」は日本の医師（25万人）の半数以上が利用する国内最大（唯一）の医療情報ポータルサイト。医師15万人を含む30万人の医療従事者が会員。・情報サービスとして医療ニュース、検索サービス、文献検索、法律相談、掲示板、等。・「MR君」　医師と製薬会社を結ぶ医薬品情報の双方向サービス。音声、動画も利用。・「QOL君」　医師の生活に役立つライフスタイル（非医療分野）支援サービス。・医師・看護師・薬剤師転職サイト、医師・看護師コミュニティサイト、セレクトショップ運営。2.一般向けサービス：「AskDoctors」会員の医師があらゆる質問に回答。利用者18万人。3.調査分野：「リサーチ君」日本最大の医師パネルに対して実施するアンケート調査。4.海外展開：米国、韓国の有名医療ポータルサイトをM＆Aにより子会社化","2000","9","118757","83","東京都","港区芝大門2-5-5　住友不動産芝大門ビル12Ｆ","幅広い業務に対して、好奇心をもって前向きに取り組むことができる能力のある方を求めます。","上條","2010/07/16 11:27:29"
"1008554","1","0","ハイクラス","","","上場","","","08","04","営業","企画営業","04","01","マーケティング・広報・IR","マーケティング","","","","","エムスリー株式会社","セールス・マーケティング","メインミッションは同社の各種eマーケティングツール、サービスの営業・企画提案です。製薬会社をはじめとするクライアントのマーケティングニーズや要件を取りまとめ、「MR君」や「m3MT」、それぞれのツールに載せて発信するコンテンツなどを用いて、製品のプロモーションを包括的にサポートする営業・企画提案。また、獲得したプロジェクトのマネジメントや効果検証など、実装までをトータルで行っていただきます。ニーズによりマッチする新サービスの企画開発にも取り組んでいただくことを想定しています。","Web広告やマーケティング企業での営業経験3年以上で営業実績の高い方（ただし、以下は対象外とさせていただきます。求人広告企業のご経験のみの方、営業対象が、個人・個人商店などのご経験のみの方、取り扱い業界が特化している方）","","------","","ヒアリング・プレゼン共に高いコミュニケーション能力、人間関係型ではなく、問題解決型の志向性、高いビジネスセンス。<BR>","Web広告やマーケティング企業での営業経験","東京都","港区","","","大卒以上","27","32","400","1000","事業拡大に伴う増員","210621","インターネット","インターネットを利用した医療関連サービスの提供。メインクライアントは大手製薬会社（現在28社）及び医師。日本最大の医療従事者向けポータルサイトを持ち医師会員18.8万人、薬剤師会員7.0万人のデータベースを武器に躍進しています。「インターネットを活用して、健康で長生きできる人を一人でも増やし、不必要な医療コストを一円でも減らすこと」それが願いであり、事業の目的でもあります。","1.医療従事者会員向けサービス／医療関連企業マーケティング支援：「m3.com」は日本の医師（25万人）の半数以上が利用する国内最大（唯一）の医療情報ポータルサイト。医師15万人を含む30万人の医療従事者が会員。・情報サービスとして医療ニュース、検索サービス、文献検索、法律相談、掲示板、等。・「MR君」　医師と製薬会社を結ぶ医薬品情報の双方向サービス。音声、動画も利用。・「QOL君」　医師の生活に役立つライフスタイル（非医療分野）支援サービス。・医師・看護師・薬剤師転職サイト、医師・看護師コミュニティサイト、セレクトショップ運営。2.一般向けサービス：「AskDoctors」会員の医師があらゆる質問に回答。利用者18万人。3.調査分野：「リサーチ君」日本最大の医師パネルに対して実施するアンケート調査。4.海外展開：米国、韓国の有名医療ポータルサイトをM＆Aにより子会社化","2000","9","118757","83","東京都","港区芝大門2-5-5　住友不動産芝大門ビル12Ｆ","戦略的な営業力、社内外のリソースや協力を取りまとめるプロジェクトマネジメント力が求められます。","上條","2010/07/16 11:27:28"
"1008426","1","0","ハイクラス","","","上場","","","02","06","ビジネスコンサルタント","その他","02","01","ビジネスコンサルタント","経営戦略系","04","01","マーケティング・広報・IR","マーケティング","エムスリー株式会社","コンサルタント（アソシエイト）","自社サービスの顧客（主に製薬会社）に対する、eマーケティング戦略コンサルティング。長期的には、製薬業界における新たなマーケティングツール、サービスの企画、事業化も。具体的には：年間売上1億円以上のアカウントを複数社担当、担当クライアント、担当製品に対する、eマーケティング戦略の企画立案、自社サービスを活用したeマーケティング推進の為の、担当クライアントへの継続的なサポート、新規顧客開拓サービス導入の提案、プレゼンテーションなど","コンサルティングファームジュニアレベルの方または事業会社でのプロダクトマーケティングの経験3年以上ある方","","------","","成長意欲・ビジネスセンスが高く、地頭の良い方","コンサルティング経験","東京都","港区","","","大卒以上","25","28","500","900","事業拡大に伴う増員","210621","インターネット","インターネットを利用した医療関連サービスの提供。メインクライアントは大手製薬会社（現在28社）及び医師。日本最大の医療従事者向けポータルサイトを持ち医師会員18.8万人、薬剤師会員7.0万人のデータベースを武器に躍進しています。「インターネットを活用して、健康で長生きできる人を一人でも増やし、不必要な医療コストを一円でも減らすこと」それが願いであり、事業の目的でもあります。","1.医療従事者会員向けサービス／医療関連企業マーケティング支援：「m3.com」は日本の医師（25万人）の半数以上が利用する国内最大（唯一）の医療情報ポータルサイト。医師15万人を含む30万人の医療従事者が会員。・情報サービスとして医療ニュース、検索サービス、文献検索、法律相談、掲示板、等。・「MR君」　医師と製薬会社を結ぶ医薬品情報の双方向サービス。音声、動画も利用。・「QOL君」　医師の生活に役立つライフスタイル（非医療分野）支援サービス。・医師・看護師・薬剤師転職サイト、医師・看護師コミュニティサイト、セレクトショップ運営。2.一般向けサービス：「AskDoctors」会員の医師があらゆる質問に回答。利用者18万人。3.調査分野：「リサーチ君」日本最大の医師パネルに対して実施するアンケート調査。4.海外展開：米国、韓国の有名医療ポータルサイトをM＆Aにより子会社化","2000","9","118757","83","東京都","港区芝大門2-5-5　住友不動産芝大門ビル12Ｆ","既成概念にとらわれない発想力、柔軟性、「人間関係」ではなく「問題解決」志向であること","上條","2010/07/16 11:27:27"
"1009494","1","0","ハイクラス","","","上場","","","08","04","営業","企画営業","07","03","その他企画・事務・管理","企画系","","","","","エムスリー株式会社","新領域（プレミアムサービス）マーケティングプロデューサー","製薬業界以外のさまざまな企業に対し、同社サイト「m3.com」や「QOL君」を活用したマーケティング支援サービスの企画、セールス。新サービスとして新たな収益の柱を確立する。","法人向けの企画提案営業、またはコンサルティングの経験・高い実績がある。新サービスの企画、開発のスキル、経験がある（収益化されたものが望ましい）。新規開拓型の営業力、提案スキルと経験がある。経営層へのアプローチや企画提案、サービス提供の経験。マーケティング、セールスプロモーション、市場調査に関する一般的な知識がある。","プレミアムサービスを提供している企業（例：金融、不動産、自動車）でのご経験がよりフィットが高い","------","","規のマーケット開拓を志すベンチャースピリッツと、自分がやり遂げる執着心の保持のある方（組織のメンバーとして行動するのでなく、自分のやりたいことを実現し、収益化した経験）","法人向けの企画提案、コンサルティングおよび営業経験","東京都","港区","","","大卒以上","25","35","600","1000","事業拡大に伴う増員","210621","インターネット","インターネットを利用した医療関連サービスの提供。メインクライアントは大手製薬会社（現在28社）及び医師。日本最大の医療従事者向けポータルサイトを持ち医師会員18.8万人、薬剤師会員7.0万人のデータベースを武器に躍進しています。「インターネットを活用して、健康で長生きできる人を一人でも増やし、不必要な医療コストを一円でも減らすこと」それが願いであり、事業の目的でもあります。","1.医療従事者会員向けサービス／医療関連企業マーケティング支援：「m3.com」は日本の医師（25万人）の半数以上が利用する国内最大（唯一）の医療情報ポータルサイト。医師15万人を含む30万人の医療従事者が会員。・情報サービスとして医療ニュース、検索サービス、文献検索、法律相談、掲示板、等。・「MR君」　医師と製薬会社を結ぶ医薬品情報の双方向サービス。音声、動画も利用。・「QOL君」　医師の生活に役立つライフスタイル（非医療分野）支援サービス。・医師・看護師・薬剤師転職サイト、医師・看護師コミュニティサイト、セレクトショップ運営。2.一般向けサービス：「AskDoctors」会員の医師があらゆる質問に回答。利用者18万人。3.調査分野：「リサーチ君」日本最大の医師パネルに対して実施するアンケート調査。4.海外展開：米国、韓国の有名医療ポータルサイトをM＆Aにより子会社化","2000","9","118757","83","東京都","港区芝大門2-5-5　住友不動産芝大門ビル12Ｆ","クライアントとのコミュニケーションの過程で課題やニーズを感じ取り、それを実際のサービスに変換・収益化をした成功体験ある方お待ちしております","上條","2010/07/16 11:27:25"
"1009496","1","0","ハイクラス","","","上場","","","08","04","営業","企画営業","04","01","マーケティング・広報・IR","マーケティング","07","03","その他企画・事務・管理","企画系","エムスリー株式会社","新領域（医療サービス）マーケティングプロデューサー","医療機器メーカーに対し、「m3.com」や「QOL君」を活用した新たなマーケティング支援サービスの企画、セールス。新サービスとして新たな収益の柱を確立する","医療機器メーカーでのマーケティングまたは営業の経験者。待つ営業ではなく、自ら戦略的に行動して実績をあげている。人間関係型ではなく、問題発見・解決型の志向で取り組み、その実績がある。マーケティング、セールスプロモーション、市場調査に関する一般的な知識がある","機器メーカーの中では、カテーテルや整形領域が特にフィットが高い","------","","新規のマーケット開拓を志すベンチャースピリッツと、自分がやり遂げる執着心の保持のある方（組織のメンバーとして行動するのでなく、自分のやりたいことを実現し、収益化した経験）","法人向けの企画提案、コンサルティングおよび営業経験","東京都","港区","","","大卒以上","25","35","600","1000","事業拡大に伴う増員","210621","インターネット","インターネットを利用した医療関連サービスの提供。メインクライアントは大手製薬会社（現在28社）及び医師。日本最大の医療従事者向けポータルサイトを持ち医師会員18.8万人、薬剤師会員7.0万人のデータベースを武器に躍進しています。「インターネットを活用して、健康で長生きできる人を一人でも増やし、不必要な医療コストを一円でも減らすこと」それが願いであり、事業の目的でもあります。","1.医療従事者会員向けサービス／医療関連企業マーケティング支援：「m3.com」は日本の医師（25万人）の半数以上が利用する国内最大（唯一）の医療情報ポータルサイト。医師15万人を含む30万人の医療従事者が会員。・情報サービスとして医療ニュース、検索サービス、文献検索、法律相談、掲示板、等。・「MR君」　医師と製薬会社を結ぶ医薬品情報の双方向サービス。音声、動画も利用。・「QOL君」　医師の生活に役立つライフスタイル（非医療分野）支援サービス。・医師・看護師・薬剤師転職サイト、医師・看護師コミュニティサイト、セレクトショップ運営。2.一般向けサービス：「AskDoctors」会員の医師があらゆる質問に回答。利用者18万人。3.調査分野：「リサーチ君」日本最大の医師パネルに対して実施するアンケート調査。4.海外展開：米国、韓国の有名医療ポータルサイトをM＆Aにより子会社化","2000","9","118757","83","東京都","港区芝大門2-5-5　住友不動産芝大門ビル12Ｆ","クライアントとのコミュニケーションの過程で課題やニーズを感じ取り、それを実際のサービスに変換・収益化をした成功体験ある方お待ちしております","上條","2010/07/16 11:27:24"
