"求人ID","Newフラグ","トピックスフラグ","テーマ","外資フラグ","ベンチャーフラグ","上場フラグ","リンク（面接官）","リンク（トピックス）","職種大分類コード1","職種中分類コード1","職種大分類名1","職種中分類名1","職種大分類コード2","職種中分類コード2","職種大分類名2","職種中分類名2","職種大分類コード3","職種中分類コード3","職種大分類名3","職種中分類名3","会社名（トピックス用）","職種名","職務内容","求めるスキル（必須条件）","求めるスキル（望ましい条件）","英語レベル","TOEIC","求める人物像","活かせる経験","都道府県1","市区町村1","都道府県2","市区町村2","学歴","年齢下限","年齢上限","年収下限","年収上限","募集背景","企業ID","業種カテゴリ","会社情報（紹介文）","会社情報（その他捕捉）","会社情報（設立）年","会社情報（設立）月","会社情報（資本金）万円","会社情報（従業員数）","企業県名","企業市区町村","ｺﾝｻﾙから一言","担当者","掲載日"
"1000108","1","0","ベンチャー","","1","上場","","","10","08","ITエンジニア","WEBアプリケーション","10","06","ITエンジニア","社内システム関連","07","03","その他企画・事務・管理","企画系","グリー株式会社","Webアプリケーションエンジニア【自社サービス】","同社のソーシャルネットワーキングサービスを中心とした、自社サービスの設計、開発、および運用などを行います。新規サービスの構築、運用。新機能実現のための設計、開発。また自社のコンシューマー向け大規模Webサービスの開発を、個々のレベルの高いエンジニアたちと共に行う経験は、他の企業では得られません。エンジニアとしては上流だけ、下流だけということがなく、サービスの要件定義から設計、開発、運用まで幅広く担当することで、一人でWebサービスの開発を完結させられるスキルが身につきます。","オブジェクト指向プログラミングの基礎知識。Linux／RDBMSの基礎知識","【尚可】LAMP環境で開発可能な方/オリジナルのソフトウェア・ウェブアプリケーションの設計経験/XML・RSS、webサービス関連技術に関する知識/ApacheAPＩ(C言語、Perl、PHPを問わず)を用いたアプリケーション開発に関する知識","","","ユーザー向けのサービスを開発していくことにモチベーションを持てる方。幅広くＷＥＢアプリケーションエンジニアとしてのスキルを積みたい方。","Webサービス開発会社でプログラムをたくさん組んでいる技術力の高い方。（ただし、設計経験のみやテストのみの方はNG）。SIerにいた方。","東京都","港区","","","高専卒以上","25","32","400","800","業績好調に伴う人員強化。各部門において組織を作り始めており増強が必要。４名の募集枠です。","211109","インターネット","SNSの草分け的存在の同社は、現在は特にモバイル分野で大手キャリアと提携するなど事業展開を図っています。特にSNSでは重要な監視・セキュリティに気を配った安心できるサービスが特徴。また携帯サイトとしては、大手キャリアでSNSサイトを初めて公式サイトとして採用されるなど、実績を出している。モバイル事業を軸に業績好調。現在会員数７００万人を突破（08/10現在）","代表者略歴：ソニーコミュニケーションネットワーク株式会社、楽天株式会社を経て2004年12月同社を設立、代表取締役に就任。その他、ITメディアサイト編集長、オープンソースの開発エンジニアなど優秀なメンバーが集まっている。現在サイトとしては、大手キャリアとのアライアンス含め、ユーザ数を堅実に伸ばしている。今後はいかにして課金モデルを作っていくかが課題。平均年齢27歳の”どベンチャー”の社風なので、給与はあまり高くないが経験値を積む、新しいものを自分たちが発信していくという事に貪欲に取り組め<BR>る方に来て欲しい。","2004","12","25058","84","東京都","港区六本木4-1-4　黒崎ビル5F","サービスの要件定義から設計、開発、運用まで幅広く担当することで、一人でWebサービスの開発を完結させられるスキルが身につきます。","越山","2009/02/26 16:33:40"
"1002914","1","0","ベンチャー","","1","上場","","","10","02","ITエンジニア","オープン系システム","10","06","ITエンジニア","社内システム関連","10","07","ITエンジニア","ネットワーク・セキュリティ","グリー株式会社","社内基幹システムエンジニア","同社の業務系システムの設計、開発および運用などを担当していただきます。具体的には、・課金システム（携帯キャリア公式・クレジットカード決済など）・モバイルアフィリエイトサービスと自社サービスの連携システム・営業支援を始めとする、各種社内向け業務システムの設計・構築・社内ネットワークの構築・運用/情報システム業務。上流だけ、下流だけということがなく、社内システムの要件定義から設計、開発、運用まで幅広く担当できます。また、利用者がすぐそばにいるのでフィードバックを得やすいです。さらに、通常の社内システムの範囲よりは大きな案件になる場合が多く、やりがいもあります。","オブジェクト指向プログラミングの基礎知識/Linux/RDBMSの基礎知識/業務系Webアプリケーションの構築経験・知識/有線・無線LANに関する基礎知識","【尚可】会計、販売、人事系業務システムの構築経験(設計・開発、言語は問わず)/社内ネットワーク(無線LANを含む)の構築・運用経験/企業情報システム部門での業務経験/内部統制、情報保護(Pマーク、ISMSなど)に関する知識、資格/業務における、信頼性・正確性とスピードを兼ね備えた方","","","技術力の高いメンバーの中で切磋琢磨していく意識のある方。","SIer出身者希望。若手であれば尚良し。上流から実装、運用まで担当できるのでスキルアップできます","東京都","港区","","","専修・専門卒以上","25","32","400","700","業績好調に伴う人員強化。各部門において組織を作り始めており増強が必要。","211109","インターネット","SNSの草分け的存在の同社は、現在は特にモバイル分野で大手キャリアと提携するなど事業展開を図っています。特にSNSでは重要な監視・セキュリティに気を配った安心できるサービスが特徴。また携帯サイトとしては、大手キャリアでSNSサイトを初めて公式サイトとして採用されるなど、実績を出している。モバイル事業を軸に業績好調。現在会員数７００万人を突破（08/10現在）","代表者略歴：ソニーコミュニケーションネットワーク株式会社、楽天株式会社を経て2004年12月同社を設立、代表取締役に就任。その他、ITメディアサイト編集長、オープンソースの開発エンジニアなど優秀なメンバーが集まっている。現在サイトとしては、大手キャリアとのアライアンス含め、ユーザ数を堅実に伸ばしている。今後はいかにして課金モデルを作っていくかが課題。平均年齢27歳の”どベンチャー”の社風なので、給与はあまり高くないが経験値を積む、新しいものを自分たちが発信していくという事に貪欲に取り組め<BR>る方に来て欲しい。","2004","12","25058","84","東京都","港区六本木4-1-4　黒崎ビル5F","上流だけ、下流だけということがなく、社内システムの要件定義から設計、開発、運用まで幅広く担当することができます。","越山","2009/02/26 16:33:39"
"1005913","1","0","ベンチャー","","1","上場","","","10","07","ITエンジニア","ネットワーク・セキュリティ","10","07","ITエンジニア","ネットワーク・セキュリティ","10","07","ITエンジニア","ネットワーク・セキュリティ","グリー株式会社","ネットワーク・インフラエンジニア","同社の展開するＷＥＢサービスを支える新機能実現のための基盤設計・開発、負荷分散や接続速度向上などのサーバパフォーマンスやセキュリティ対策など、インフラ構築・運用、各種管理ツールの設計・開発を担当していただきます。","オブジェクト指向プログラミングの基礎知識（C、C++、Java、PHP、Perlなど）。Linux/RDBMSの基礎知識","【尚可】LAMP環境で開発可能な方。オリジナルのソフトウェア/ウェブアプリケーションの設計経験。MySQLを前提とした大規模なRDBMS環境の構築・運用経験。XML/RSS、webサービス関連技術に関する知識。ApacheAPI(C言語、Perl、PHPを問わず)を用いたアプリケーション開発に関する知識。Linuxその他OSに関する高度な知識(ネイティブアプリケーションの開発経験、カーネルのコードレベルでのチューニング技術など)","","","アクセス数の多いサイトの安定稼動を支えるために努力できる方、新しい技術に柔軟な方","アクセスの多いWebサイトの負荷分散業務などを担当されていらっしゃる方。サーバーの設置・配線などの物理的な業務というよりは、OSやインストールするパッケージなどのソフトウェアをいじって、巨大なアクセス数を捌いていた方、もしくはそのようなキャリアを志向される方","東京都","港区","","","高専卒以上","25","32","400","800","業績好調に伴う人員強化。各部門において組織を作り始めており増強が必要。","211109","インターネット","SNSの草分け的存在の同社は、現在は特にモバイル分野で大手キャリアと提携するなど事業展開を図っています。特にSNSでは重要な監視・セキュリティに気を配った安心できるサービスが特徴。また携帯サイトとしては、大手キャリアでSNSサイトを初めて公式サイトとして採用されるなど、実績を出している。モバイル事業を軸に業績好調。現在会員数７００万人を突破（08/10現在）","代表者略歴：ソニーコミュニケーションネットワーク株式会社、楽天株式会社を経て2004年12月同社を設立、代表取締役に就任。その他、ITメディアサイト編集長、オープンソースの開発エンジニアなど優秀なメンバーが集まっている。現在サイトとしては、大手キャリアとのアライアンス含め、ユーザ数を堅実に伸ばしている。今後はいかにして課金モデルを作っていくかが課題。平均年齢27歳の”どベンチャー”の社風なので、給与はあまり高くないが経験値を積む、新しいものを自分たちが発信していくという事に貪欲に取り組め<BR>る方に来て欲しい。","2004","12","25058","84","東京都","港区六本木4-1-4　黒崎ビル5F","1000台を超えるサーバーを用い、負荷分散など大規模サービスならではの課題に取り組むことが可能です。","越山","2009/02/26 16:33:38"
"115370","1","0","ベンチャー","","1","上場","","","08","04","営業","企画営業","08","07","営業","その他","","","","","グリー株式会社","メディアセールス","インターネット上での広告企画をする代理店やインターネット専門のエージェンシーと協力して、同社サイトを媒体としたプロモーションをクライアントに提案します。バナー広告だけではなく、SNSならではの利点を活用し、クライアントに最大限のメリットを提供することが目的です。SNSの可能性を追求した新しい広告やキャンペーンの企画を提案してください。ビジネスパートナーとなる代理店は大手2社となります。クライアントも基本的にはナショナルクライアントのみです。","営業もしくは広告・マーケティング担当としての実務経験/高いコミュニケーション能力、プレゼンテーションスキル","広告代理店での営業経験・メディア担当経験/媒体社での営業経験","","","コミュニケーション力の高い方。","モバイル・ＷＥＢの広告業界にいる方は是非応募ください。","東京都","港区","","","専修・専門卒以上","22","32","400","600","サービス拡大に伴う増員","211109","インターネット","SNSの草分け的存在の同社は、現在は特にモバイル分野で大手キャリアと提携するなど事業展開を図っています。特にSNSでは重要な監視・セキュリティに気を配った安心できるサービスが特徴。また携帯サイトとしては、大手キャリアでSNSサイトを初めて公式サイトとして採用されるなど、実績を出している。モバイル事業を軸に業績好調。現在会員数７００万人を突破（08/10現在）","代表者略歴：ソニーコミュニケーションネットワーク株式会社、楽天株式会社を経て2004年12月同社を設立、代表取締役に就任。その他、ITメディアサイト編集長、オープンソースの開発エンジニアなど優秀なメンバーが集まっている。現在サイトとしては、大手キャリアとのアライアンス含め、ユーザ数を堅実に伸ばしている。今後はいかにして課金モデルを作っていくかが課題。平均年齢27歳の”どベンチャー”の社風なので、給与はあまり高くないが経験値を積む、新しいものを自分たちが発信していくという事に貪欲に取り組め<BR>る方に来て欲しい。","2004","12","25058","84","東京都","港区六本木4-1-4　黒崎ビル5F","今後力を入れていくモバイルサイト向けの広告企画など業務は多岐にわたります。","越山","2009/02/26 16:33:15"
"1005914","1","0","ベンチャー","","1","上場","","","04","01","マーケティング・広報・IR","マーケティング","10","02","ITエンジニア","オープン系システム","07","03","その他企画・事務・管理","企画系","グリー株式会社","データマイニングエンジニア【マネージャー補佐】","ユーザー数700万人を超えるサービスと膨大なデータから新しいサービスや経営判断につながる有益な情報を引き出す業務を担当していただきます。具体的には各種ログ・数値指標の整備、運用、管理。上記に伴うサーバ、データベースなどのインフラの整備、運用、管理。新たな視点や知見を得られるような数値指標の提案。革新的な広告配信やレコメンドシステムの開発、運用。各部門への数値指標の提供。今勢いのあるサービスがどのように動き人が流れているかを現場で実際のデータから調査し、よりよいサービスに変えていく、という貴重な経験を積むことができます。","PHP、Perl、C/C++、Java言語などを用いたアプリケーションの開発・運用経験/Linux/RDBMSの基礎知識/数値の羅列に拒否反応がないこと【大歓迎な経験】回帰分析などの統計分析手法の知識/パターンマイニング、分類器、クラスタリングなどの機械学習の知識/DoubleArrayTrieなどの効率的なデータ構造の知識","【尚可】オリジナルのソフトウェア/アプリケーションの設計経験/ギガバイト以上の入出力を扱うスケーラブルなアプリケーションの開発・運用経験/大規模RDBMS環境の整備・運用経験/データ構造やアルゴリズム、計算量などの基礎知識/確率分布、統計、検定などの基礎知識/基礎的な行列の計算や集合などの数学の知識/ピボットテーブルなどのExcelの知識","","","受身にならず、主体的に自らの仕事を作り取り組んでいける方/出てきた数値の意味や正当性について時間を忘れて議論してしまうような方/仮説をきちんと定式化しようとする方","統計、データ分析業務経験者","東京都","港区","","","大卒以上","25","32","400","800","設立4年が経ち、ある程度のデータも揃いここからさらに革新的なデータマイニングを進めてゆくメンバーを募集しています。","211109","インターネット","SNSの草分け的存在の同社は、現在は特にモバイル分野で大手キャリアと提携するなど事業展開を図っています。特にSNSでは重要な監視・セキュリティに気を配った安心できるサービスが特徴。また携帯サイトとしては、大手キャリアでSNSサイトを初めて公式サイトとして採用されるなど、実績を出している。モバイル事業を軸に業績好調。現在会員数７００万人を突破（08/10現在）","代表者略歴：ソニーコミュニケーションネットワーク株式会社、楽天株式会社を経て2004年12月同社を設立、代表取締役に就任。その他、ITメディアサイト編集長、オープンソースの開発エンジニアなど優秀なメンバーが集まっている。現在サイトとしては、大手キャリアとのアライアンス含め、ユーザ数を堅実に伸ばしている。今後はいかにして課金モデルを作っていくかが課題。平均年齢27歳の”どベンチャー”の社風なので、給与はあまり高くないが経験値を積む、新しいものを自分たちが発信していくという事に貪欲に取り組め<BR>る方に来て欲しい。","2004","12","25058","84","東京都","港区六本木4-1-4　黒崎ビル5F","今勢いのあるサービスがどのように動き人が流れているかを現場で実際のデータから調査し、よりよいサービスに変えていく貴重な経験を積むことができます。","越山","2009/02/26 16:33:09"
"1000110","1","0","ベンチャー","","1","上場","","","11","00","WEB・モバイル関連","","11","00","WEB・モバイル関連","","","","","","グリー株式会社","コンテンツ企画・戦略（キャラクター、アイテムなど）","同社のサイト上のキャラクター、アイテムなどのコンテンツ利用の促進や、サイトの活性化につながる各種企画立案・実行、数値管理を担当していただきます。具体的には同社のサイト上のキャラクターなどのコンテンツ利用を促進させる業務。SNSをはじめとする自社サイトの活性化につなげる各種企画立案・実行。","デザインディレクションができ、売れるデザインが何かわかる方（アバターアイテムのデザインチェック＆指示だし等）。制作会社、個人デザイナーの制作発注、管理のマネジメント。会社の売上アップのためのアイデアを出すことが出来る方。","メディアカンパニーでの企画職経験をお持ちの方/広告プロモーションなどの管理発注、成果指標の管理などの実務経験をお持ちの方/数字に強いもしくは、得意な方/業務の全体像を捉えて見ることができる方/自分でケータイサイトを作っている方","","","ネットのことが頭に入っていることはもちろん、広告・モバイル・音楽・ゲーム等エンターテイメント業界全般に対するセンスや、理解、そして一つ一つの企画をシビアに見るための数字に対する感覚のある方","デコメサイト、プロフサイト、アバター、ゲームサイトなどの運営・ディレクションをしている方。","東京都","港区","","","専修・専門卒以上","22","32","400","500","サービス拡大に伴う増員","211109","インターネット","SNSの草分け的存在の同社は、現在は特にモバイル分野で大手キャリアと提携するなど事業展開を図っています。特にSNSでは重要な監視・セキュリティに気を配った安心できるサービスが特徴。また携帯サイトとしては、大手キャリアでSNSサイトを初めて公式サイトとして採用されるなど、実績を出している。モバイル事業を軸に業績好調。現在会員数７００万人を突破（08/10現在）","代表者略歴：ソニーコミュニケーションネットワーク株式会社、楽天株式会社を経て2004年12月同社を設立、代表取締役に就任。その他、ITメディアサイト編集長、オープンソースの開発エンジニアなど優秀なメンバーが集まっている。現在サイトとしては、大手キャリアとのアライアンス含め、ユーザ数を堅実に伸ばしている。今後はいかにして課金モデルを作っていくかが課題。平均年齢27歳の”どベンチャー”の社風なので、給与はあまり高くないが経験値を積む、新しいものを自分たちが発信していくという事に貪欲に取り組め<BR>る方に来て欲しい。","2004","12","25058","84","東京都","港区六本木4-1-4　黒崎ビル5F","コンテンツプロバイダーでデコメサイト、プロフサイト、アバター、ゲームサイトなどの運営・ディレクションをしている方に来て欲しいです。","越山","2009/02/26 16:33:04"
"115367","1","0","ハイクラス/ベンチャー","","1","上場","","","07","03","その他企画・事務・管理","企画系","04","01","マーケティング・広報・IR","マーケティング","11","00","WEB・モバイル関連","","グリー株式会社","プロモーションマーケティング","各種プロモーションを通してのユーザー獲得、サイト活性化などを担当していただきます。同社のサービスをより多くの人に知ってもらうためのプロモーション（TVCM、交通広告、モバイル広告など）/大手携帯キャリアや音楽レーベル・エンターテイメント業界との提携企画立案・実行","TV業界向け営業のできる方/プロジェクトマネジメント、企画ならびにプレゼンテーション能力のある方/何らかの製品のWeb上でのプロモーションやマーケティング業務に関わったことのある方/数字に強いもしくは、得意な方（Excelを使っての数値分析が可能な方）","【尚可】広告代理店での営業経験/メディアバイイングの経験をお持ちの方/サイトディレクション関連業務の実務経験もしくは、知識・理解がある方/広告プロモーションなどの管理発注、成果指標の管理などの実務経験をお持ちの方/業務の全体像を捉えて見ることができる方","","","機会にあふれた環境を活かせる方。スピード感のある動きが取れる方。出てきた数字が本当に正しいのかについて興味を維持できる方。自分なりのマーケティングの定義を確立させている方","広告代理店での大手クライアント担当ＡＥ経験や、消費財メーカーでのマーケティング担当経験","東京都","港区","","","大卒以上","25","35","500","850","サービス拡大に伴う増員","211109","インターネット","SNSの草分け的存在の同社は、現在は特にモバイル分野で大手キャリアと提携するなど事業展開を図っています。特にSNSでは重要な監視・セキュリティに気を配った安心できるサービスが特徴。また携帯サイトとしては、大手キャリアでSNSサイトを初めて公式サイトとして採用されるなど、実績を出している。モバイル事業を軸に業績好調。現在会員数７００万人を突破（08/10現在）","代表者略歴：ソニーコミュニケーションネットワーク株式会社、楽天株式会社を経て2004年12月同社を設立、代表取締役に就任。その他、ITメディアサイト編集長、オープンソースの開発エンジニアなど優秀なメンバーが集まっている。現在サイトとしては、大手キャリアとのアライアンス含め、ユーザ数を堅実に伸ばしている。今後はいかにして課金モデルを作っていくかが課題。平均年齢27歳の”どベンチャー”の社風なので、給与はあまり高くないが経験値を積む、新しいものを自分たちが発信していくという事に貪欲に取り組め<BR>る方に来て欲しい。","2004","12","25058","84","東京都","港区六本木4-1-4　黒崎ビル5F","これから伸びていくであろうコミュニティサービスのマーケティングを１から、企画～実装・運用まで責任を持って通して仕事をする経験は他では得られません。","越山","2009/02/26 16:32:56"
"1002502","1","0","ベンチャー","","1","上場","","","05","00","人事","","05","00","人事","","05","00","人事","","グリー株式会社","人事（採用担当）","中途採用、新卒採用、アルバイト採用。応募者対応に始まり、面接、入社後フォロー、求人広告作成、採用戦略・計画立案まで活躍の幅を広げていただき、会社の成長を担う人材採用をしていただきます。ベンチャー企業の成長を支えていけるような安定した経営管理部門の構築を、共に推進していただきたいと思います。","採用の実務経験もしくは、同様の知識、能力/優秀なMgrクラス（Mgr候補）の応募者をグリップできる採用ができる方/スピーディーな応募対応の実現に向けて、丁寧かつ効率的な業務フロー構築ができる方","人材系の企業（人材紹介会社、求人広告サイトなどの媒体社）でのご経験","","","責任感が強く、高いバイタリティをもって仕事に臨んでいただける方/向上心が高く、新しいことを吸収していくことに前向きな方","人事、人材会社での実務経験","東京都","港区","","","大卒以上","25","30","400","600","増員","211109","インターネット","SNSの草分け的存在の同社は、現在は特にモバイル分野で大手キャリアと提携するなど事業展開を図っています。特にSNSでは重要な監視・セキュリティに気を配った安心できるサービスが特徴。また携帯サイトとしては、大手キャリアでSNSサイトを初めて公式サイトとして採用されるなど、実績を出している。モバイル事業を軸に業績好調。現在会員数７００万人を突破（08/10現在）","代表者略歴：ソニーコミュニケーションネットワーク株式会社、楽天株式会社を経て2004年12月同社を設立、代表取締役に就任。その他、ITメディアサイト編集長、オープンソースの開発エンジニアなど優秀なメンバーが集まっている。現在サイトとしては、大手キャリアとのアライアンス含め、ユーザ数を堅実に伸ばしている。今後はいかにして課金モデルを作っていくかが課題。平均年齢27歳の”どベンチャー”の社風なので、給与はあまり高くないが経験値を積む、新しいものを自分たちが発信していくという事に貪欲に取り組め<BR>る方に来て欲しい。","2004","12","25058","84","東京都","港区六本木4-1-4　黒崎ビル5F","ベンチャーでの採用活動、人事活動にモチベーションを持てる方をお待ちしています。","越山","2009/02/26 16:32:49"
"1006505","1","0","ベンチャー","","1","上場","","","06","00","経理・財務・会計","","06","00","経理・財務・会計","","06","00","経理・財務・会計","","グリー株式会社","財務管理部門長","財務管理部門長としてご活躍いただきます。決算書の作成業務、各種財務状況のチェックを含む財務業務全般を担当していただきます。また、対監査法人、主幹事証券会社向けの報告書の作成なども担当していただきます。ベンチャー企業の成長を支えていけるような安定した経営管理部門の構築を、共に推進していただきたいと思います。","財務もしくは、会計事務所などでの実務経験、または同等の知識、経験/モバイル・ネット業界に興味がある方","【尚可】上場企業での経理・財務経験や経営企画でのご経験をお持ちの方/投資銀行・証券会社でのご経験をお持ちの方/公認会計士資格保持者","","","責任感が強く、高いバイタリティをもって仕事に臨んでいただける方。向上心が高く、新しいことを吸収していくことに前向きな方<BR>","ネットビジネスに興味関心がある方。志向性としては、CFOというよりはコントローラー志望者の方がマッチすると思われます。","東京都","港区","","","大卒以上","28","35","500","700","業績好調に伴う人員強化。各部門において組織体制強化。","211109","インターネット","SNSの草分け的存在の同社は、現在は特にモバイル分野で大手キャリアと提携するなど事業展開を図っています。特にSNSでは重要な監視・セキュリティに気を配った安心できるサービスが特徴。また携帯サイトとしては、大手キャリアでSNSサイトを初めて公式サイトとして採用されるなど、実績を出している。モバイル事業を軸に業績好調。現在会員数７００万人を突破（08/10現在）","代表者略歴：ソニーコミュニケーションネットワーク株式会社、楽天株式会社を経て2004年12月同社を設立、代表取締役に就任。その他、ITメディアサイト編集長、オープンソースの開発エンジニアなど優秀なメンバーが集まっている。現在サイトとしては、大手キャリアとのアライアンス含め、ユーザ数を堅実に伸ばしている。今後はいかにして課金モデルを作っていくかが課題。平均年齢27歳の”どベンチャー”の社風なので、給与はあまり高くないが経験値を積む、新しいものを自分たちが発信していくという事に貪欲に取り組め<BR>る方に来て欲しい。","2004","12","25058","84","東京都","港区六本木4-1-4　黒崎ビル5F","上場直後の企業での重要なポジションです。","越山","2009/02/26 16:32:37"
"1006308","1","0","ベンチャー","","1","上場","","","04","02","マーケティング・広報・IR","広報・IR","","","","","","","","","グリー株式会社","IR","同社をさまざまな投資家に正しく理解していただくため、アナリスト・機関投資家・個人投資家に対してIR活動を行います。四半期ごとの決算資料の作成、その他発表の準備などの開示業務や、アナリスト・機関投資家・個人投資家向け説明会の開催や日々のお問い合わせの対応などを担当します。","上場企業における対投資家向け対応（IR）の実務経験・日本語、英語による高いコミュニケーション能力（口頭および記述）・経理や財務などの経験または知識・Word、Excel、Access、PowerPointなどのPCリテラシー、特にExcelを使用したデータ整理、分析などを行う能力","インターネット業界、モバイル業界に対する知識。経営企画や経営管理部等でのご経験も兼ねた方でIR経験をお持ちの方も歓迎します。また、広報などとの兼務をされていた方も歓迎します。","","","バイタリティのある方","上場会社でのＩＲ実務経験","東京都","港区","","","大卒以上","28","32","450","600","会社拡大に伴う組織体制強化増員。","211109","インターネット","SNSの草分け的存在の同社は、現在は特にモバイル分野で大手キャリアと提携するなど事業展開を図っています。特にSNSでは重要な監視・セキュリティに気を配った安心できるサービスが特徴。また携帯サイトとしては、大手キャリアでSNSサイトを初めて公式サイトとして採用されるなど、実績を出している。モバイル事業を軸に業績好調。現在会員数７００万人を突破（08/10現在）","代表者略歴：ソニーコミュニケーションネットワーク株式会社、楽天株式会社を経て2004年12月同社を設立、代表取締役に就任。その他、ITメディアサイト編集長、オープンソースの開発エンジニアなど優秀なメンバーが集まっている。現在サイトとしては、大手キャリアとのアライアンス含め、ユーザ数を堅実に伸ばしている。今後はいかにして課金モデルを作っていくかが課題。平均年齢27歳の”どベンチャー”の社風なので、給与はあまり高くないが経験値を積む、新しいものを自分たちが発信していくという事に貪欲に取り組め<BR>る方に来て欲しい。","2004","12","25058","84","東京都","港区六本木4-1-4　黒崎ビル5F","投資家の注目を浴びている環境での業務になります","越山","2009/02/26 16:32:36"
