求人ID,Newフラグ,トピックスフラグ,テーマ,外資フラグ,ベンチャーフラグ,上場フラグ,リンク（面接官）,リンク（トピックス）,職種大分類コード1,職種中分類コード1,職種大分類名1,職種中分類名1,職種大分類コード2,職種中分類コード2,職種大分類名2,職種中分類名2,職種大分類コード3,職種中分類コード3,職種大分類名3,職種中分類名3,会社名（トピックス用）,職種名,職務内容,求めるスキル（必須条件）,求めるスキル（望ましい条件）,英語レベル,TOEIC,求める人物像,活かせる経験,都道府県1,市区町村1,都道府県2,市区町村2,学歴,年齢下限,年齢上限,年収下限,年収上限,募集背景,企業ID,業種カテゴリ,会社情報（紹介文）,会社情報（その他捕捉）,会社情報（設立）年,会社情報（設立）月,会社情報（資本金）万円,会社情報（従業員数）,企業県名,企業市区町村,ｺﾝｻﾙから一言,担当者,掲載日
1021869,1,0,ハイクラス,,,上場,,,4,1,マーケティング・広報・IR,マーケティング,4,1,マーケティング・広報・IR,マーケティング,4,1,マーケティング・広報・IR,マーケティング,大幸薬品株式会社,マーケティング部　マネージャー・アシスタントマネージャー,将来の部長候補として、マーケティング業務全般をお任せします。具体的には、国内外の医薬品／感染管理製品における新商品の企画と開発。マスコミ広告や店頭販売促進策の立案と実行。開発、生産から営業、店頭消化までを社内外の調整を図りながら推進。担当ブランドについて売上と経費をコントロールしながら収益管理を実施。,B2C業界におけるマーケティング経験、ブランドマネジメント経験。OTCやドラッグストア業界に関する知識。※薬事法に関する知識があれば尚可。PCスキル：Word、Excel、PowerPoint（中級・上級レベル）。Dr．Sum、Partner（インテージ）を使ったことがあれば尚可。,,スタンダードレベル,,コミュニケーション力、プレゼンテーションスキル、交渉力、に長けた方。論理的思考能力をお持ちで、協調性のある方。,医薬、商品、食品等の業界でのマーケティング経験,東京都,港区,,,大卒以上,30,42,600,1000,会社及び商品のブランド価値及び認知度の向上、さらなる売上拡大を図るために、マーケティング全般の業務経験と専門知識を有する人材を募集,1001745,バイオ・メディカル,約50年の歴史を持つ老舗医薬品メーカー。1946年設立。主力製品のブランド力で胃腸薬の専門メーカーとして成長。現在、安全で殺菌効果の非常に高い二酸化塩素ガス分子の濃度制御に成功し、液剤とガス剤を中心に感染管理商品に注力しビジネスを展開。サイエンスの力で伝統薬に新しい価値を与え「医薬品事業」に加え、様々な方面から大きな注目を集める「感染管理事業」を通して人々の暮らしを変え世界市場を開拓しています。,国内はもとより東南アジア・中国にも進出・1954年香港へ輸出を開始。1996年台湾、1997年中国に事務所を開設。企業テーマは「自立」「共生」「創造」。自立した個性を支える企業を目指し明るく開放感の在る職場環境で中途採用者もハンデはない。また地域社会と密着した事業展開を行いリサイクル型企業を目指し資源の高度利用を推進している。基礎研究に力を注ぎ、伝統的であった主力製品の作用メカニズムの解明等の研究に加え、生化学分野の基礎研究にも取り組んでいる。,1946,11,15543,210,大阪府,大阪市西区西本町1-4-1　オリックス本町ビル16階,ドラッグストア、ホームセンターで扱う商材でのマーケティング経験豊富な方歓迎です,越山,2014/4/1 6:52
1021446,1,0,,,,上場,,,6,0,経理・財務・会計,,6,0,経理・財務・会計,,6,0,経理・財務・会計,,大幸薬品株式会社,財務管理部,月次・年次決算業務（単体・連結）、有価証券報告書等開示資料の作成、その他、法人税法等を含む経理・財務業務全般。※これから覚えてもらうものであり、すべて今すぐ求めている能力ではない,事業会社での経理・財務関係の経験者（3年程度以上）,,------,,コミュニケーション能力、協調性、向上心の高いタイプ,経理財務業務経験,大阪府,大阪市,,,大卒以上,25,29,400,510,事業拡大に伴う増員,1001745,バイオ・メディカル,約50年の歴史を持つ老舗医薬品メーカー。1946年設立。主力製品のブランド力で胃腸薬の専門メーカーとして成長。現在、安全で殺菌効果の非常に高い二酸化塩素ガス分子の濃度制御に成功し、液剤とガス剤を中心に感染管理商品に注力しビジネスを展開。サイエンスの力で伝統薬に新しい価値を与え「医薬品事業」に加え、様々な方面から大きな注目を集める「感染管理事業」を通して人々の暮らしを変え世界市場を開拓しています。,国内はもとより東南アジア・中国にも進出・1954年香港へ輸出を開始。1996年台湾、1997年中国に事務所を開設。企業テーマは「自立」「共生」「創造」。自立した個性を支える企業を目指し明るく開放感の在る職場環境で中途採用者もハンデはない。また地域社会と密着した事業展開を行いリサイクル型企業を目指し資源の高度利用を推進している。基礎研究に力を注ぎ、伝統的であった主力製品の作用メカニズムの解明等の研究に加え、生化学分野の基礎研究にも取り組んでいる。,1946,11,15543,210,大阪府,大阪市西区西本町1-4-1　オリックス本町ビル16階,将来の中核人材へと時間をかけて育成していく社風です。,武田,2014/4/1 6:52
1021443,1,0,,,,上場,,,3,0,経営企画・事業企画,,6,0,経理・財務・会計,,6,0,経理・財務・会計,,大幸薬品株式会社,経営企画（アシスタントマネージャ）,中期計画・年度予算の策定および進捗管理と業績予想の策定。IR業務（開示資料の作成、決算説明会の開催、機関投資家やアナリスト等の対応）。全社横断的なプロジェクトの企画推進およびマネジメント。新事業企画、投資企画および実行業務（事業投資に伴うDD、諸検討、実行、ＰＭＩ等）。,メーカーでの経営企画に関する実務経験（中期計画、年度予算策定と進捗管理）３年以上。メーカーでの会計・税務、ファイナンスに関する実務経験５年以上。管理会計に関する基礎的知識。社内プロジェクトの推進経験,経営戦略、マーケティングに関する基礎的知識、IR業務の経験、資本政策、M&A等の業務経験、新規事業の企画開発、業務改善等のプロジェクト経験,------,,ポジティブで、積極的に様々な業務に取り組む方。,管理会計、経営企画の経験,大阪府,大阪市,,,大卒以上,32,40,620,740,事業拡大による増員,1001745,バイオ・メディカル,約50年の歴史を持つ老舗医薬品メーカー。1946年設立。主力製品のブランド力で胃腸薬の専門メーカーとして成長。現在、安全で殺菌効果の非常に高い二酸化塩素ガス分子の濃度制御に成功し、液剤とガス剤を中心に感染管理商品に注力しビジネスを展開。サイエンスの力で伝統薬に新しい価値を与え「医薬品事業」に加え、様々な方面から大きな注目を集める「感染管理事業」を通して人々の暮らしを変え世界市場を開拓しています。,国内はもとより東南アジア・中国にも進出・1954年香港へ輸出を開始。1996年台湾、1997年中国に事務所を開設。企業テーマは「自立」「共生」「創造」。自立した個性を支える企業を目指し明るく開放感の在る職場環境で中途採用者もハンデはない。また地域社会と密着した事業展開を行いリサイクル型企業を目指し資源の高度利用を推進している。基礎研究に力を注ぎ、伝統的であった主力製品の作用メカニズムの解明等の研究に加え、生化学分野の基礎研究にも取り組んでいる。,1946,11,15543,210,大阪府,大阪市西区西本町1-4-1　オリックス本町ビル16階,社会貢献度の高い事業です。,武田,2014/4/1 6:52
1021448,1,0,ハイクラス,,,上場,,,14,0,化学・バイオ・メディカル関連,,14,0,化学・バイオ・メディカル関連,,,,,,大幸薬品株式会社,品質管理部（アシスタントマネージャー）,医薬品製造業のQA業務、GMP全般の推進・維持管理、QA業務；製品の出荷に関する管理、製造記録等の照査、原材料の業者監査（査察等）、変更管理、逸脱管理、バリデーション管理業務、定期照査。文書管理業務：製品標準書、その他ＧＭＰ文書。査察対応業務,製薬会社でのＧＭＰ又はＧＱＰ経験年数が３年以上の方。ＣＡＰＡの運用ができる方。薬事業務経験（尚可）。薬学・化学・農学・理学系の大卒以上。PCスキル：ワード・エクセル・パワーポイント中級レベル以上。,薬剤師。,------,,１．コミュニケーション能力 <BR>　２．論理的思考能力<BR>３．最後まで諦めず、やり抜く粘り強さ<BR>,製薬品製造業のQA業務経験,大阪府,大阪市,,,大卒以上,35,45,600,900,組織強化,1001745,バイオ・メディカル,約50年の歴史を持つ老舗医薬品メーカー。1946年設立。主力製品のブランド力で胃腸薬の専門メーカーとして成長。現在、安全で殺菌効果の非常に高い二酸化塩素ガス分子の濃度制御に成功し、液剤とガス剤を中心に感染管理商品に注力しビジネスを展開。サイエンスの力で伝統薬に新しい価値を与え「医薬品事業」に加え、様々な方面から大きな注目を集める「感染管理事業」を通して人々の暮らしを変え世界市場を開拓しています。,国内はもとより東南アジア・中国にも進出・1954年香港へ輸出を開始。1996年台湾、1997年中国に事務所を開設。企業テーマは「自立」「共生」「創造」。自立した個性を支える企業を目指し明るく開放感の在る職場環境で中途採用者もハンデはない。また地域社会と密着した事業展開を行いリサイクル型企業を目指し資源の高度利用を推進している。基礎研究に力を注ぎ、伝統的であった主力製品の作用メカニズムの解明等の研究に加え、生化学分野の基礎研究にも取り組んでいる。,1946,11,15543,210,大阪府,大阪市西区西本町1-4-1　オリックス本町ビル16階,社会貢献度の高い事業です。,武田,2014/4/1 6:52
1020458,1,0,ハイクラス,,,上場,,,3,0,経営企画・事業企画,,8,6,営業,海外営業,3,0,経営企画・事業企画,,大幸薬品株式会社,国際部　マネージャー,会社方針・経営戦略に沿って、海外事業戦略の立案、策定、実行をお任せします。【具体的には】海外子会社の予算進捗管理と決算管理（年次、四半期、月次ベース）。既存の海外代理店を通じた売上の維持・拡大。新規の海外代理店の獲得。海外での展示会、セミナー等の企画・開催。海外子会社の人事・労務管理等。,海外営業、海外事業の経験5年以上、特に中国でのビジネス経験。国際貿易の知識・経験。海外子会社の運営・管理経験（あれば尚可）。マーケティングの知識。ビジネスレベルの中国語。英語は出来れば尚可。ビジネスレベルのＰＣスキル（Word、Excel、PowerPoint）。※社会人経験が豊富な方は親和性のある業界での経験と中国語・英語ビジネスレベルは必須です。,,,,以下のスキルをお持ちの方。１．マネジメント能力。２．コミュニケーション能力。３．折衝スキル。４．論理的思考能力。,中国でのビジネス経験,大阪府,大阪市,,,大卒以上,38,45,800,1000,前任者の異動による欠員補充,1001745,バイオ・メディカル,約50年の歴史を持つ老舗医薬品メーカー。1946年設立。主力製品のブランド力で胃腸薬の専門メーカーとして成長。現在、安全で殺菌効果の非常に高い二酸化塩素ガス分子の濃度制御に成功し、液剤とガス剤を中心に感染管理商品に注力しビジネスを展開。サイエンスの力で伝統薬に新しい価値を与え「医薬品事業」に加え、様々な方面から大きな注目を集める「感染管理事業」を通して人々の暮らしを変え世界市場を開拓しています。,国内はもとより東南アジア・中国にも進出・1954年香港へ輸出を開始。1996年台湾、1997年中国に事務所を開設。企業テーマは「自立」「共生」「創造」。自立した個性を支える企業を目指し明るく開放感の在る職場環境で中途採用者もハンデはない。また地域社会と密着した事業展開を行いリサイクル型企業を目指し資源の高度利用を推進している。基礎研究に力を注ぎ、伝統的であった主力製品の作用メカニズムの解明等の研究に加え、生化学分野の基礎研究にも取り組んでいる。,1946,11,15543,210,大阪府,大阪市西区西本町1-4-1　オリックス本町ビル16階,海外（中国メイン）事業戦略の立案から策定、実行まですべてをお任せする非常にやりがいのあるポジションです。※大阪勤務です。,武田,2014/4/1 6:52
1021444,1,0,ハイクラス,,,上場,,,16,0,その他,,16,0,その他,,14,0,化学・バイオ・メディカル関連,,大幸薬品株式会社,工場業務部（部長）,原料・資材及び仕入品の発注から製品在庫管理、出荷までの一連の業務のマネジメン。生産計画に基づく所要原材料、資材の購入計画の立案・実施・管理・計画修正。製品、中間製品、原材料、資材の保管及び在庫調整、管理、委託加工費の価格交渉。原材料の調達（新規開拓を含む）。製品、中間製品、原材料、資材の納期及び原価管理。サプライヤーの開拓・変更・管理、調達リスクの低減。製品、原材料の輸入(感染管理の原材料を含む）。原料・製品等の輸出における国内物流。※工場業務部は、生産管理・購買・物流・輸出入を行う部署,原料・資材調達の業務経験10年以上、在庫管理の経験、サプライチェーンに関わる知識、生産計画の立案・管理の経験、マネジメント経験,中国語もしくは英語ができれば尚可,------,,リーダーシップ、チャレンジ精神をお持ちの方。,原料、資材調達、在庫管理の経験,大阪府,大阪市,,,大卒以上,40,55,800,1000,欠員補充,1001745,バイオ・メディカル,約50年の歴史を持つ老舗医薬品メーカー。1946年設立。主力製品のブランド力で胃腸薬の専門メーカーとして成長。現在、安全で殺菌効果の非常に高い二酸化塩素ガス分子の濃度制御に成功し、液剤とガス剤を中心に感染管理商品に注力しビジネスを展開。サイエンスの力で伝統薬に新しい価値を与え「医薬品事業」に加え、様々な方面から大きな注目を集める「感染管理事業」を通して人々の暮らしを変え世界市場を開拓しています。,国内はもとより東南アジア・中国にも進出・1954年香港へ輸出を開始。1996年台湾、1997年中国に事務所を開設。企業テーマは「自立」「共生」「創造」。自立した個性を支える企業を目指し明るく開放感の在る職場環境で中途採用者もハンデはない。また地域社会と密着した事業展開を行いリサイクル型企業を目指し資源の高度利用を推進している。基礎研究に力を注ぎ、伝統的であった主力製品の作用メカニズムの解明等の研究に加え、生化学分野の基礎研究にも取り組んでいる。,1946,11,15543,210,大阪府,大阪市西区西本町1-4-1　オリックス本町ビル16階,社会貢献度の高い事業です。,武田,2014/4/1 6:52
1021445,1,0,ハイクラス,,,上場,,,14,0,化学・バイオ・メディカル関連,,14,0,化学・バイオ・メディカル関連,,1,0,トップマネジメント,,大幸薬品株式会社,第2製造部マネージャー（部長候補）,感染管理事業の製造管理者として、安定的な生産体制を構築し、常に工程及び作業の改善を行いながら、生産性および品質の向上に努めるとともにコスト低減をはかる。具体的には以下職務内容に従事する。年間生産計画の立案、実行。年間設備計画の立案、実行。生産工程、作業手順の改善、生産性向上、安定生産の維持。人財育成、能力開発。※第2製造部は20名弱の要員でクレベリンを中心とした感染管理製品を製造している工場です。同工場の生産方式、業務プロセスの見直し、要員や予算コントロールなど全ての領域で根本的に改革のできるパワフルな人を求めています。,工場運営、業務立て直し、生産設備、改善活動などの経験10年以上。マネジメント能力、計画立案能力。理系（特に工学部）の4大卒以上,,------,,広い領域で根本的に改革のできるパワフルな方を求めています。,工場運営、業務改善の経験,大阪府,大阪市,,,大卒以上,35,48,700,1000,将来の幹部候補採用、工場移転に伴う人員増強,1001745,バイオ・メディカル,約50年の歴史を持つ老舗医薬品メーカー。1946年設立。主力製品のブランド力で胃腸薬の専門メーカーとして成長。現在、安全で殺菌効果の非常に高い二酸化塩素ガス分子の濃度制御に成功し、液剤とガス剤を中心に感染管理商品に注力しビジネスを展開。サイエンスの力で伝統薬に新しい価値を与え「医薬品事業」に加え、様々な方面から大きな注目を集める「感染管理事業」を通して人々の暮らしを変え世界市場を開拓しています。,国内はもとより東南アジア・中国にも進出・1954年香港へ輸出を開始。1996年台湾、1997年中国に事務所を開設。企業テーマは「自立」「共生」「創造」。自立した個性を支える企業を目指し明るく開放感の在る職場環境で中途採用者もハンデはない。また地域社会と密着した事業展開を行いリサイクル型企業を目指し資源の高度利用を推進している。基礎研究に力を注ぎ、伝統的であった主力製品の作用メカニズムの解明等の研究に加え、生化学分野の基礎研究にも取り組んでいる。,1946,11,15543,210,大阪府,大阪市西区西本町1-4-1　オリックス本町ビル16階,さまざまな領域で根本的に改革のできるパワフルな方をお待ちしています。,武田,2014/4/1 6:52
1021442,1,0,,,,上場,,,4,1,マーケティング・広報・IR,マーケティング,4,2,マーケティング・広報・IR,広報・IR,4,1,マーケティング・広報・IR,マーケティング,大幸薬品株式会社,広報部（シニアスタッフ～アシスタントマネージャ）,(1)メディアコンタクト（実行部隊で資料作成や作戦立案までは求めない）。(2)WEBハンドリング（現行サイトコンテンツ更新、ベンダーとの窓口等）。(3)社内コミュニケーション（社内の情報収集、情報発信等）。(4)月次資料作成（クリッピングなど）。(5)取材対応,業務経験（下記いずれかの経験）：(1)企業広報、製品PR経験者。(2)広告代理店の勤務経験、メディア勤務経験。求められる知識：コンシューマービジネスの知識、マーケティング知識。ワード・エクセル・パワーポイント中級レベル以上。※フォトショップ、イラストレーターが使えること。,英語力,------,,コミュニケーション能力、文書作成、説明能力、論理的思考能力、責任感、自己完結能力、企画、提案力をお持ちの方。 <BR>,企業広報、製品PR、広告代理店での経験,東京都,港区,,,大卒以上,28,32,400,700,要員補充,1001745,バイオ・メディカル,約50年の歴史を持つ老舗医薬品メーカー。1946年設立。主力製品のブランド力で胃腸薬の専門メーカーとして成長。現在、安全で殺菌効果の非常に高い二酸化塩素ガス分子の濃度制御に成功し、液剤とガス剤を中心に感染管理商品に注力しビジネスを展開。サイエンスの力で伝統薬に新しい価値を与え「医薬品事業」に加え、様々な方面から大きな注目を集める「感染管理事業」を通して人々の暮らしを変え世界市場を開拓しています。,国内はもとより東南アジア・中国にも進出・1954年香港へ輸出を開始。1996年台湾、1997年中国に事務所を開設。企業テーマは「自立」「共生」「創造」。自立した個性を支える企業を目指し明るく開放感の在る職場環境で中途採用者もハンデはない。また地域社会と密着した事業展開を行いリサイクル型企業を目指し資源の高度利用を推進している。基礎研究に力を注ぎ、伝統的であった主力製品の作用メカニズムの解明等の研究に加え、生化学分野の基礎研究にも取り組んでいる。,1946,11,15543,210,大阪府,大阪市西区西本町1-4-1　オリックス本町ビル16階,大企業での広報ポジションです。,武田,2014/4/1 6:52
1021120,1,0,ハイクラス,,,上場,,,8,4,営業,企画営業,8,1,営業,営業管理職,3,0,経営企画・事業企画,,大幸薬品株式会社,コーポレート営業部（マネージャー）,機械メーカー、商社など複数企業とのパートナーシップを構築し、既存製品の販売推進、新たなサービスや製品の企画立案を行う。「空間除菌」マーケットの発展と創造。これらを実現するために、市場調査、戦略立案、顧客との商談、製品化への提言といった一連の業務に携わる。売上責任、部門長業務補佐,事業計画やビジネスプランを立案、実行した経験7年以上の法人営業経験、営業スキル。ワード・エクセル・パワーポイント中級レベル以上。戦略立案、マーケティングのフレームワークを活用し、実践につなげられる力。,,------,,企画提案力、論理的思考能力、最後まで諦めず、やり抜く粘り強さ,法人営業経験、事業計画経験。,東京都,港区,,,大卒以上,38,46,800,1000,事業拡大のための要員補充,1001745,バイオ・メディカル,約50年の歴史を持つ老舗医薬品メーカー。1946年設立。主力製品のブランド力で胃腸薬の専門メーカーとして成長。現在、安全で殺菌効果の非常に高い二酸化塩素ガス分子の濃度制御に成功し、液剤とガス剤を中心に感染管理商品に注力しビジネスを展開。サイエンスの力で伝統薬に新しい価値を与え「医薬品事業」に加え、様々な方面から大きな注目を集める「感染管理事業」を通して人々の暮らしを変え世界市場を開拓しています。,国内はもとより東南アジア・中国にも進出・1954年香港へ輸出を開始。1996年台湾、1997年中国に事務所を開設。企業テーマは「自立」「共生」「創造」。自立した個性を支える企業を目指し明るく開放感の在る職場環境で中途採用者もハンデはない。また地域社会と密着した事業展開を行いリサイクル型企業を目指し資源の高度利用を推進している。基礎研究に力を注ぎ、伝統的であった主力製品の作用メカニズムの解明等の研究に加え、生化学分野の基礎研究にも取り組んでいる。,1946,11,15543,210,大阪府,大阪市西区西本町1-4-1　オリックス本町ビル16階,社会貢献度の大きい事業です。,武田,2014/4/1 6:52
1021121,1,0,,,,上場,,,8,4,営業,企画営業,8,7,営業,その他,4,1,マーケティング・広報・IR,マーケティング,大幸薬品株式会社,リテール営業シニアスタッフ,市販用製品（主力商品の「正露丸」「セイロガン糖衣A」「クレベリン」「ひやきおーがん」「ピシャット」等）の提案営業※卸会社の社員と同行し、ドラッグストアなどを直接訪問。店頭でのプロモーションや売り場づくりを提案（店舗の運営者、バイヤーと直接折衝・交渉を行うこともある）※現場の声やニーズを拾い、それを新製品開発に活かす役割も担う,消費財（食品飲料、日用雑貨、医薬品など）メーカーの営業経験（現職希望）。ワード・エクセル・パワーポイント中級レベル以上。※要普免,,------,,１． コミュニケーション能力（バイヤー、店舗運営者との折衝・交渉）２． 提案力、企画力（店頭でのプロモーションや売り場づくりの提案）３． 創意工夫力（自身で仕事の進め方などを工夫できる） 日々、客先を訪問することが主体となるため、フットワーク良く動ける方。,消費財メーカーの営業経験,東京都,港区,,,大卒以上,28,32,400,500,事業拡大にともなう増員,1001745,バイオ・メディカル,約50年の歴史を持つ老舗医薬品メーカー。1946年設立。主力製品のブランド力で胃腸薬の専門メーカーとして成長。現在、安全で殺菌効果の非常に高い二酸化塩素ガス分子の濃度制御に成功し、液剤とガス剤を中心に感染管理商品に注力しビジネスを展開。サイエンスの力で伝統薬に新しい価値を与え「医薬品事業」に加え、様々な方面から大きな注目を集める「感染管理事業」を通して人々の暮らしを変え世界市場を開拓しています。,国内はもとより東南アジア・中国にも進出・1954年香港へ輸出を開始。1996年台湾、1997年中国に事務所を開設。企業テーマは「自立」「共生」「創造」。自立した個性を支える企業を目指し明るく開放感の在る職場環境で中途採用者もハンデはない。また地域社会と密着した事業展開を行いリサイクル型企業を目指し資源の高度利用を推進している。基礎研究に力を注ぎ、伝統的であった主力製品の作用メカニズムの解明等の研究に加え、生化学分野の基礎研究にも取り組んでいる。,1946,11,15543,210,大阪府,大阪市西区西本町1-4-1　オリックス本町ビル16階,社会貢献度の高い事業です。,武田,2014/4/1 6:52
