"求人ID","Newフラグ","トピックスフラグ","テーマ","外資フラグ","ベンチャーフラグ","上場フラグ","リンク（面接官）","リンク（トピックス）","職種大分類コード1","職種中分類コード1","職種大分類名1","職種中分類名1","職種大分類コード2","職種中分類コード2","職種大分類名2","職種中分類名2","職種大分類コード3","職種中分類コード3","職種大分類名3","職種中分類名3","会社名（トピックス用）","職種名","職務内容","求めるスキル（必須条件）","求めるスキル（望ましい条件）","英語レベル","TOEIC","求める人物像","活かせる経験","都道府県1","市区町村1","都道府県2","市区町村2","学歴","年齢下限","年齢上限","年収下限","年収上限","募集背景","企業ID","業種カテゴリ","会社情報（紹介文）","会社情報（その他捕捉）","会社情報（設立）年","会社情報（設立）月","会社情報（資本金）万円","会社情報（従業員数）","企業県名","企業市区町村","ｺﾝｻﾙから一言","担当者","掲載日"
"1004946","1","0","","","","","","","10","06","ITエンジニア","社内システム関連","10","05","ITエンジニア","ERP・SCM・CRM","10","01","ITエンジニア","プロジェクトマネージャー・リーダー","ソニーグローバルソリューションズ株式会社","プロジェクトマネージャー・リーダー候補（アプリ）","グローバルに展開する国内大手電機メーカー、ならびにグループ各社の大規模システムまたはグローバルシステムの構築におけるプロジェクトリーディング業務、もしくはメンバーとしての業務を、ユーザーサイドの位置付けで行っていきます。クライアントの効率的かつ戦略的な経営を実現させることがミッションです。常に経営的な視点で物事を見ることが求められるポジションです。","SCM、FPM、HR、CRM、EC、PLM（CAD・CAE含）等に関するシステム又はグローバルシステム構築（アプリケーション企画開発）のプロジェクト実行経験。企業情報システム部門におけるプロジェクト実行経験。SI会社にて顧客システムの構築プロジェクト実行経験。","グローバルシステム構築の経験があれば歓迎。ERP導入プロジェクト経験あれば歓迎。大規模プロジェクトのリーディング経験あれば歓迎。システムの品質管理もしくは開発方法論構築経験あれば歓迎。","------","","真摯かつ真面目にクライアントと向かい合える方","SCM、FPM、HR、CRM、EC、PLM（CAD・CAE含）等に関するシステム又はグローバルシステム構築（アプリケーション企画開発）のプロジェクト実行経験。","東京都","品川区","","","大卒以上","24","35","450","750","業務拡大に伴う増員。","100285","コンピュータ（システム）","世界的な国内大手電機メーカーならびにグループの情報システム部門に位置する専門会社。グローバルで多様なビジネス環境を総合的にとらえ、グループの構造改革の一端を担う。ITの側面からビジネスプロセス改革の実現、組織強化のサポートが大きなミッション。IT戦略・ガバナンス確立などのマネジメントコンサル、業務改善・業務企画の提案～システム開発、IT基盤サービスなど、ビジネス・テクニカルの両面から支援する。","グローバル企業の情報システム部門という位置付けで、他のユーザー系SIerとは違い外販は一切ない。すべて本体・グループ企業とのプライム案件。IT・業務戦略の企画段階から関わっていく。そのため、案件によってはシステムを作ることがソリューションではないという判断を行うなど、システムと切り離したプロジェクトもある。経営課題、情報化のプランニングなどに関する意思決定に踏み込んで業務を行うことも可能。IT投資額も大きく、グローバル企業のため海外案件に携わるチャンスもある。半期のキャリアプランと業績考課をすり合わせて行うなど、公募を含めてジョブローテーションの機会もあり、ユーザー側の役割を担いながらキャリアパスを作っていける環境。プロジェクトの規模も大きい為、体系立てた業務遂行のノウハウ・経験も積んでいける。残業に対してのチェックも行っており、労働環境としてはファーム、SIerなどと比べてそれほどハードでは無い。実際の開発はベンダーを使うことが多い。他コンサルティングファームと協業することもあるが、手伝ってもらうという感覚で自社が主導でPJを行う。地に足付けてキャリアを積んでいける環境。","2003","7","10000","1108","東京都","品川区北品川4-7-35　御殿山ヒルズ18F","グループの変革をシステム面から支える非常に重要なポジションです。大規模PJを中心に、地に足付けてスキル・キャリアを積んでいけます","半藤","2008/07/14 18:49:57"
"112968","1","0","","","","","","","10","06","ITエンジニア","社内システム関連","10","07","ITエンジニア","ネットワーク・セキュリティ","10","07","ITエンジニア","ネットワーク・セキュリティ","ソニーグローバルソリューションズ株式会社","プロジェクトマネージャー・リーダー候補（インフラ）","グローバルに展開する国内大手電機メーカー、ならびにグループ各社のITインフラの設計・構築におけるプロジェクトリーディング業務。グローバルに展開するグループの大規模システムまたはグローバルシステムのインフラ構築におけるプロジェクトチームリーディング業務を、ユーザーサイドの位置付けで行っていきます。ITプラットフォームを整備することにより、クライアントの効率的かつ戦略的な経営を実現させることがミッションです。常に経営的な視点で物事を見ることが求められるポジションです。","サーバ/ストレージ領域における企画・設計・実装・運用に関するプロジェクトのPM、PLの経験。音声及び、IPネットワークに関する企画、設計、実装、運用経験を有し、グローバルエンタープライズネットワーク/プラットフォームに対する、プロジェクトのPM、PL経験。","PMBOKの認定資格または同等の知識。大規模プロジェクトのリーディング経験あれば歓迎。SCM、FPM、HR、CRM、EC等に関するシステム又はグローバルシステム構築（ITインフラ設計導入）のプロジェクトリーディングの経験。","------","","真摯かつ真面目にクライアントと向かい合える方","サーバ/ストレージ領域、音声及びIPネットワーク領域における企画・設計・実装・運用に関するプロジェクトのPM、PLの経験。","東京都","品川区","","","大卒以上","24","35","450","750","業務拡大に伴う増員。","100285","コンピュータ（システム）","世界的な国内大手電機メーカーならびにグループの情報システム部門に位置する専門会社。グローバルで多様なビジネス環境を総合的にとらえ、グループの構造改革の一端を担う。ITの側面からビジネスプロセス改革の実現、組織強化のサポートが大きなミッション。IT戦略・ガバナンス確立などのマネジメントコンサル、業務改善・業務企画の提案～システム開発、IT基盤サービスなど、ビジネス・テクニカルの両面から支援する。","グローバル企業の情報システム部門という位置付けで、他のユーザー系SIerとは違い外販は一切ない。すべて本体・グループ企業とのプライム案件。IT・業務戦略の企画段階から関わっていく。そのため、案件によってはシステムを作ることがソリューションではないという判断を行うなど、システムと切り離したプロジェクトもある。経営課題、情報化のプランニングなどに関する意思決定に踏み込んで業務を行うことも可能。IT投資額も大きく、グローバル企業のため海外案件に携わるチャンスもある。半期のキャリアプランと業績考課をすり合わせて行うなど、公募を含めてジョブローテーションの機会もあり、ユーザー側の役割を担いながらキャリアパスを作っていける環境。プロジェクトの規模も大きい為、体系立てた業務遂行のノウハウ・経験も積んでいける。残業に対してのチェックも行っており、労働環境としてはファーム、SIerなどと比べてそれほどハードでは無い。実際の開発はベンダーを使うことが多い。他コンサルティングファームと協業することもあるが、手伝ってもらうという感覚で自社が主導でPJを行う。地に足付けてキャリアを積んでいける環境。","2003","7","10000","1108","東京都","品川区北品川4-7-35　御殿山ヒルズ18F","グループの変革をシステム面から支える非常に重要なポジションです。大規模PJを中心に、地に足付けてスキル・キャリアを積んでいけます","半藤","2008/07/14 18:49:56"
"1004949","1","0","","","","","","","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","07","03","その他企画・事務・管理","企画系","ソニーグローバルソリューションズ株式会社","PLM設計プロセス支援ソフト開発リーダー候補","グローバルに展開する国内大手電機メーカー製品のメカ/電気設計における、設計業務品質やマネジメント力を向上させるための設計プロセス改革コンサルからソリューションの企画、開発、導入展開を、ユーザーサイドの位置付けで行っていきます。クライアント製品の効率的かつ戦略的な開発を実現させることがミッションです。常に経営的な視点で物事を見ることが求められるポジションです。","次の業務の中で複数領域の実務経験を有する方。エレキ業界で、商品設計PL業務を経験した上で、設計プロセスのBPR活動推進経験。PDM/PLMベンダーで、エレキ業界向け、設計プロセス改革のコンサルからPDMの導入経験がある。エレキ製品の開発・設計プロセスに関わるスキルを持ち、課題・改善活動の実務経験がある方。エレキ企業内で、PDM/PLMの企画、導入推進の実務経験。開発/設計業務の中での、効率化、品質向上などへの改革意欲があり、新しい設計技術の導入推進への意識の高い方。","","------","","開発/設計業務の中での、効率化、品質向上などへの改革意欲があり、新しい設計技術の導入推進への意識の高い方。","PDM/PLMの企画、導入推進の実務経験。","東京都","品川区","神奈川県","","大卒以上","24","35","450","700","業務拡大における増員。","100285","コンピュータ（システム）","世界的な国内大手電機メーカーならびにグループの情報システム部門に位置する専門会社。グローバルで多様なビジネス環境を総合的にとらえ、グループの構造改革の一端を担う。ITの側面からビジネスプロセス改革の実現、組織強化のサポートが大きなミッション。IT戦略・ガバナンス確立などのマネジメントコンサル、業務改善・業務企画の提案～システム開発、IT基盤サービスなど、ビジネス・テクニカルの両面から支援する。","グローバル企業の情報システム部門という位置付けで、他のユーザー系SIerとは違い外販は一切ない。すべて本体・グループ企業とのプライム案件。IT・業務戦略の企画段階から関わっていく。そのため、案件によってはシステムを作ることがソリューションではないという判断を行うなど、システムと切り離したプロジェクトもある。経営課題、情報化のプランニングなどに関する意思決定に踏み込んで業務を行うことも可能。IT投資額も大きく、グローバル企業のため海外案件に携わるチャンスもある。半期のキャリアプランと業績考課をすり合わせて行うなど、公募を含めてジョブローテーションの機会もあり、ユーザー側の役割を担いながらキャリアパスを作っていける環境。プロジェクトの規模も大きい為、体系立てた業務遂行のノウハウ・経験も積んでいける。残業に対してのチェックも行っており、労働環境としてはファーム、SIerなどと比べてそれほどハードでは無い。実際の開発はベンダーを使うことが多い。他コンサルティングファームと協業することもあるが、手伝ってもらうという感覚で自社が主導でPJを行う。地に足付けてキャリアを積んでいける環境。","2003","7","10000","1108","東京都","品川区北品川4-7-35　御殿山ヒルズ18F","グループの変革をシステム面から支える非常に重要なポジションです。地に足付けてスキル・キャリアを積んでいけます。","半藤","2008/07/14 18:49:54"
"1004947","1","0","","","","","","","10","07","ITエンジニア","ネットワーク・セキュリティ","10","10","ITエンジニア","その他IT系","10","07","ITエンジニア","ネットワーク・セキュリティ","ソニーグローバルソリューションズ株式会社","組込みソフトウェア開発プロセス及び開発環境構築リーダー候補","グローバルに展開する国内大手電機メーカー製品の組込みソフトウェア開発におけるプロセス改善のコンサルティング、及び開発支援ツールを利用したソリューション提供を、ユーザーサイドの位置付けで行っていきます。クライアント製品の効率的かつ戦略的な開発を実現させることがミッションです。常に経営的な視点で物事を見ることが求められるポジションです。","大規模な組込みソフトウェア開発におけるリーディングの経験。C、C＋＋、Linux、Itron、Javaでの2年以上の開発経験。ソフトウェア設計プロジェクトにおけるプロセス改善活動経験。『ClearCase』などのソフトウェア開発支援ツール（構成、変更管理）の知識、利用経験。組込みソフト開発プロセス及び環境に強い興味・関心があり/改革意欲・意識の強い方。","CMMやCMMIの知識。オブジェクト指向設計（モデリング）経験。MDAに関する知識。","------","","組込みソフト開発プロセス及び環境に強い興味・関心があり/改革意欲・意識の強い方。","大規模な組込みソフトウェア開発におけるリーディングの経験。","東京都","品川区","神奈川県","","大卒以上","24","35","450","700","業務拡大における増員。","100285","コンピュータ（システム）","世界的な国内大手電機メーカーならびにグループの情報システム部門に位置する専門会社。グローバルで多様なビジネス環境を総合的にとらえ、グループの構造改革の一端を担う。ITの側面からビジネスプロセス改革の実現、組織強化のサポートが大きなミッション。IT戦略・ガバナンス確立などのマネジメントコンサル、業務改善・業務企画の提案～システム開発、IT基盤サービスなど、ビジネス・テクニカルの両面から支援する。","グローバル企業の情報システム部門という位置付けで、他のユーザー系SIerとは違い外販は一切ない。すべて本体・グループ企業とのプライム案件。IT・業務戦略の企画段階から関わっていく。そのため、案件によってはシステムを作ることがソリューションではないという判断を行うなど、システムと切り離したプロジェクトもある。経営課題、情報化のプランニングなどに関する意思決定に踏み込んで業務を行うことも可能。IT投資額も大きく、グローバル企業のため海外案件に携わるチャンスもある。半期のキャリアプランと業績考課をすり合わせて行うなど、公募を含めてジョブローテーションの機会もあり、ユーザー側の役割を担いながらキャリアパスを作っていける環境。プロジェクトの規模も大きい為、体系立てた業務遂行のノウハウ・経験も積んでいける。残業に対してのチェックも行っており、労働環境としてはファーム、SIerなどと比べてそれほどハードでは無い。実際の開発はベンダーを使うことが多い。他コンサルティングファームと協業することもあるが、手伝ってもらうという感覚で自社が主導でPJを行う。地に足付けてキャリアを積んでいける環境。","2003","7","10000","1108","東京都","品川区北品川4-7-35　御殿山ヒルズ18F","グループの変革をシステム面から支える非常に重要なポジションです。地に足付けてスキル・キャリアを積んでいけます。","半藤","2008/07/14 18:49:53"
"102736","1","0","","","","","","","10","06","ITエンジニア","社内システム関連","09","05","ITコンサルタント","その他","10","06","ITエンジニア","社内システム関連","ソニーグローバルソリューションズ株式会社","テクニカルアーキテクト","グローバルに展開する国内大手電機メーカー、ならびにグループ各社のグローバルシステムを支えるアプリケーション基盤技術、ネットワーク、データセンター等のインフラの基盤を技術的な視点より検証し、エンタープライズ・アーキテクチャ（EA）に沿った、全体最適を目指したプラットフォーム標準化を企画推進する業務を、ユーザーサイドの位置付けで行っていきます。クライアントの効率的かつ戦略的な経営を、実現させることがミッションです。常に経営的な視点で物事を見ることが求められるポジションです。","次のいずれかの領域における専門性をお持ちの方。（1）アプリケーション基盤技術（DB設計、オブジェクト指向分析・構築、J2EEアーキテクチャ設計、EAP、BPM、LDAPの企画、導入、適用支援等）。（2）データセンターインフラストラクチャ（サーバー、ストレージ領域でのプラットフォーム標準化を企画・設計・実装、ERPシステムのインフラストラクチャ設計、データセンターネットワークの企画、設計、構築等）。（3）ネットワークインフラストラクチャ（IP及び音声ネットワーク、アプリケーション）。","大規模アプリケーションプロジェクトにおける技術支援の経験。大規模インフラ環境における構築、運用、改善業務の経験。","ベーシックレベル","","新しいことにチャレンジする意欲のある方。","アプリケーション基盤技術、データセンターインフラストラクチャ、ネットワークインフラストラクチャ（IP及び音声ネットワーク、アプリケーション）等の経験。","東京都","品川区","神奈川県","","大卒以上","28","35","500","750","業務拡大における増員。","100285","コンピュータ（システム）","世界的な国内大手電機メーカーならびにグループの情報システム部門に位置する専門会社。グローバルで多様なビジネス環境を総合的にとらえ、グループの構造改革の一端を担う。ITの側面からビジネスプロセス改革の実現、組織強化のサポートが大きなミッション。IT戦略・ガバナンス確立などのマネジメントコンサル、業務改善・業務企画の提案～システム開発、IT基盤サービスなど、ビジネス・テクニカルの両面から支援する。","グローバル企業の情報システム部門という位置付けで、他のユーザー系SIerとは違い外販は一切ない。すべて本体・グループ企業とのプライム案件。IT・業務戦略の企画段階から関わっていく。そのため、案件によってはシステムを作ることがソリューションではないという判断を行うなど、システムと切り離したプロジェクトもある。経営課題、情報化のプランニングなどに関する意思決定に踏み込んで業務を行うことも可能。IT投資額も大きく、グローバル企業のため海外案件に携わるチャンスもある。半期のキャリアプランと業績考課をすり合わせて行うなど、公募を含めてジョブローテーションの機会もあり、ユーザー側の役割を担いながらキャリアパスを作っていける環境。プロジェクトの規模も大きい為、体系立てた業務遂行のノウハウ・経験も積んでいける。残業に対してのチェックも行っており、労働環境としてはファーム、SIerなどと比べてそれほどハードでは無い。実際の開発はベンダーを使うことが多い。他コンサルティングファームと協業することもあるが、手伝ってもらうという感覚で自社が主導でPJを行う。地に足付けてキャリアを積んでいける環境。","2003","7","10000","1108","東京都","品川区北品川4-7-35　御殿山ヒルズ18F","グループの変革をシステム面から支える非常に重要なポジションです。大規模PJを中心に、地に足付けてスキル・キャリアを積んでいけます。","半藤","2008/07/14 18:49:42"
"1004942","1","0","","","","","","","10","07","ITエンジニア","ネットワーク・セキュリティ","10","10","ITエンジニア","その他IT系","10","07","ITエンジニア","ネットワーク・セキュリティ","ソニーグローバルソリューションズ株式会社","テクニカルスペシャリスト","グローバルに展開する国内大手電機メーカー、ならびにグループ各社の基幹システムを支える各種インフラストラクチャ・サービス領域において、専門知識を活用してのシステム設計、構築、運用業務を、ユーザーサイドの位置付けで行っていきます。クライアントの効率的かつ戦略的な経営を、実現させることがミッションです。常に経営的な視点で物事を見ることが求められるポジションです。","次のいずれかの領域での専門知識を活用したシステムの設計、構築、運用業務の経験。（1）データセンターインフラストラクチャ（OSアドミとしてのシステム企画、DBアドミとして最適なシステム、アプリケーションミドルウェア（J2EE/ERP)、データセンターネットワーク（ファイアウォール、ロードバランサ等）、プロダクト特性まで追及したパフォーマンスチューニング技術、その他DCサービス、WEBシステム全般の専門知識等）。（2）ネットワークインフラストラクチャ（IP及び音声ネットワーク、アプリケーション）。","大規模アプリケーションプロジェクトにおける技術支援の経験。大規模インフラ環境における構築、運用、改善業務の経験。","------","","新しいことにチャレンジする意欲のある方。","アプリケーション基盤技術、データセンターインフラストラクチャ、ネットワークインフラストラクチャ（IP及び音声ネットワーク、アプリケーション）等の経験。","東京都","品川区","神奈川県","","大卒以上","24","32","450","700","業務拡大における増員。","100285","コンピュータ（システム）","世界的な国内大手電機メーカーならびにグループの情報システム部門に位置する専門会社。グローバルで多様なビジネス環境を総合的にとらえ、グループの構造改革の一端を担う。ITの側面からビジネスプロセス改革の実現、組織強化のサポートが大きなミッション。IT戦略・ガバナンス確立などのマネジメントコンサル、業務改善・業務企画の提案～システム開発、IT基盤サービスなど、ビジネス・テクニカルの両面から支援する。","グローバル企業の情報システム部門という位置付けで、他のユーザー系SIerとは違い外販は一切ない。すべて本体・グループ企業とのプライム案件。IT・業務戦略の企画段階から関わっていく。そのため、案件によってはシステムを作ることがソリューションではないという判断を行うなど、システムと切り離したプロジェクトもある。経営課題、情報化のプランニングなどに関する意思決定に踏み込んで業務を行うことも可能。IT投資額も大きく、グローバル企業のため海外案件に携わるチャンスもある。半期のキャリアプランと業績考課をすり合わせて行うなど、公募を含めてジョブローテーションの機会もあり、ユーザー側の役割を担いながらキャリアパスを作っていける環境。プロジェクトの規模も大きい為、体系立てた業務遂行のノウハウ・経験も積んでいける。残業に対してのチェックも行っており、労働環境としてはファーム、SIerなどと比べてそれほどハードでは無い。実際の開発はベンダーを使うことが多い。他コンサルティングファームと協業することもあるが、手伝ってもらうという感覚で自社が主導でPJを行う。地に足付けてキャリアを積んでいける環境。","2003","7","10000","1108","東京都","品川区北品川4-7-35　御殿山ヒルズ18F","グループの変革をシステム面から支える非常に重要なポジションです。大規模PJを中心に、地に足付けてスキル・キャリアを積んでいけます。","半藤","2008/07/14 18:49:37"
"1004944","1","0","ハイクラス","","","","","","10","06","ITエンジニア","社内システム関連","10","01","ITエンジニア","プロジェクトマネージャー・リーダー","10","01","ITエンジニア","プロジェクトマネージャー・リーダー","ソニーグローバルソリューションズ株式会社","システム開発方法論の推進コンサルタント","グローバルに展開する国内大手電機メーカー、ならびにグループ各社のグローバルシステムを支える開発プロジェクト実行計画の策定段階において、方法論に沿った実行計画の立案を実現する為、関係するPM、PMO及び各リーダに対するコンサルおよび業務支援業務を、ユーザーサイドの位置付けで行っていきます。クライアントの効率的かつ戦略的な経営を実現させることがミッションです。常に経営的な視点で物事を見ることが求められるポジションです。","一定規模以上のシステム開発におけるプロジェクトマネジメント経験。ITSS　プロジェクトマネージメントのレベル5相当の経験・スキル。プロセス管理、品質管理の知識又は経験。","PMP資格。ソフトウェア及びプロセスの標準化や品質向上に意欲の高い方。","------","","コミット意識の高い方。","一定規模以上のシステム開発におけるプロジェクトマネジメント経験（ITSS　プロジェクトマネージメントのレベル5相当の経験・スキル）。","東京都","品川区","","","大卒以上","27","37","600","1000","業務拡大における増員。","100285","コンピュータ（システム）","世界的な国内大手電機メーカーならびにグループの情報システム部門に位置する専門会社。グローバルで多様なビジネス環境を総合的にとらえ、グループの構造改革の一端を担う。ITの側面からビジネスプロセス改革の実現、組織強化のサポートが大きなミッション。IT戦略・ガバナンス確立などのマネジメントコンサル、業務改善・業務企画の提案～システム開発、IT基盤サービスなど、ビジネス・テクニカルの両面から支援する。","グローバル企業の情報システム部門という位置付けで、他のユーザー系SIerとは違い外販は一切ない。すべて本体・グループ企業とのプライム案件。IT・業務戦略の企画段階から関わっていく。そのため、案件によってはシステムを作ることがソリューションではないという判断を行うなど、システムと切り離したプロジェクトもある。経営課題、情報化のプランニングなどに関する意思決定に踏み込んで業務を行うことも可能。IT投資額も大きく、グローバル企業のため海外案件に携わるチャンスもある。半期のキャリアプランと業績考課をすり合わせて行うなど、公募を含めてジョブローテーションの機会もあり、ユーザー側の役割を担いながらキャリアパスを作っていける環境。プロジェクトの規模も大きい為、体系立てた業務遂行のノウハウ・経験も積んでいける。残業に対してのチェックも行っており、労働環境としてはファーム、SIerなどと比べてそれほどハードでは無い。実際の開発はベンダーを使うことが多い。他コンサルティングファームと協業することもあるが、手伝ってもらうという感覚で自社が主導でPJを行う。地に足付けてキャリアを積んでいける環境。","2003","7","10000","1108","東京都","品川区北品川4-7-35　御殿山ヒルズ18F","グループの変革をシステム面から支える非常に重要なポジションです。大規模PJを中心に、地に足付けてスキル・キャリアを積んでいけます。","半藤","2008/07/14 18:49:34"
"1004941","1","0","","","","","","","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","09","02","ITコンサルタント","ERP・業務プロセスコンサルタント","10","06","ITエンジニア","社内システム関連","ソニーグローバルソリューションズ株式会社","SCMコンサルタント（BPR推進）","グローバルに展開する国内大手電機メーカー、ならびにグループ各社の業務プロセス改革推進。SCM、ERPの分野においてビジネスプロセスを理解し、改善・提案を行い、今後のシステムの企画を行う業務を、ユーザーサイドの位置付けで行っていきます。クライアントの効率的かつ戦略的な経営を、実現させることがミッションです。常に経営的な視点で物事を見ることが求められるポジションです。","SCM、ERPの分野において特化した知識・経験をお持ちの方。戦略立案（基本構想～概略設計）まで出来る方。全体計画の立案、進捗、変更、利益管理、要求分析、設計支援などが出来る方。コンサル、SIerでの経験、ならびに自社内のシステム・業務改善経験者ともに歓迎。","プロジェクトの規模に関わらずマネジメント経験、もしくはリーダー経験があれば歓迎。調達、ロジスティクス、サプライチェーン領域の専門的知見を所有する方歓迎。ＩＴ経験を問わず、業務に精通しBPRに卓越した知見がある方歓迎。","ベーシックレベル","","コミュニケーション能力の高い方。与えられた目標に対して真剣に取り組むことの出来る方。","SCM、ERPの経験。","東京都","品川区","神奈川県","","大卒以上","28","40","450","800","業務拡大における増員","100285","コンピュータ（システム）","世界的な国内大手電機メーカーならびにグループの情報システム部門に位置する専門会社。グローバルで多様なビジネス環境を総合的にとらえ、グループの構造改革の一端を担う。ITの側面からビジネスプロセス改革の実現、組織強化のサポートが大きなミッション。IT戦略・ガバナンス確立などのマネジメントコンサル、業務改善・業務企画の提案～システム開発、IT基盤サービスなど、ビジネス・テクニカルの両面から支援する。","グローバル企業の情報システム部門という位置付けで、他のユーザー系SIerとは違い外販は一切ない。すべて本体・グループ企業とのプライム案件。IT・業務戦略の企画段階から関わっていく。そのため、案件によってはシステムを作ることがソリューションではないという判断を行うなど、システムと切り離したプロジェクトもある。経営課題、情報化のプランニングなどに関する意思決定に踏み込んで業務を行うことも可能。IT投資額も大きく、グローバル企業のため海外案件に携わるチャンスもある。半期のキャリアプランと業績考課をすり合わせて行うなど、公募を含めてジョブローテーションの機会もあり、ユーザー側の役割を担いながらキャリアパスを作っていける環境。プロジェクトの規模も大きい為、体系立てた業務遂行のノウハウ・経験も積んでいける。残業に対してのチェックも行っており、労働環境としてはファーム、SIerなどと比べてそれほどハードでは無い。実際の開発はベンダーを使うことが多い。他コンサルティングファームと協業することもあるが、手伝ってもらうという感覚で自社が主導でPJを行う。地に足付けてキャリアを積んでいける環境。","2003","7","10000","1108","東京都","品川区北品川4-7-35　御殿山ヒルズ18F","グループの変革に非常に重要なポジションです。大規模PJを中心に、地に足付けてスキル・キャリアを積んでいけます。","半藤","2008/07/14 18:49:30"
"113252","1","0","","","","","","","03","00","経営企画・事業企画","","","","","","","","","","ソニーグローバルソリューションズ株式会社","経営企画スタッフ","グローバルに展開する国内大手電機メーカー、ならびにグループの情報システム会社におけるコーポレート企画業務全般を担当いただきます。具体的には、中期計画/事業計画策定、会議体運営（経営会議・社内運営会議・クォータリオペレーション・レビューミィティング）、ナレッジ活用推進、社内情報共有推進、CS活動推進、KPI管理、その他全社に跨る横断施策の企画・実行、他となります。","事業会社、経営管理部門にて中期計画、事業計画策定、会議体運営などを経験されている方。経営管理、プロジェクト損益管理における業務リーディング経験がある方。PoerPoint、Word、Excelの利用技術。","高いコミュニケーション、調整・交渉能力をお持ちの方。","------","","社内コミュニケーションを円滑に行えるビジネスマインドの高い方。改革意識の強い方。","事業会社での経営企画経験。","東京都","品川区","","","大卒以上","24","35","450","750","業務拡大における増員です。","100285","コンピュータ（システム）","世界的な国内大手電機メーカーならびにグループの情報システム部門に位置する専門会社。グローバルで多様なビジネス環境を総合的にとらえ、グループの構造改革の一端を担う。ITの側面からビジネスプロセス改革の実現、組織強化のサポートが大きなミッション。IT戦略・ガバナンス確立などのマネジメントコンサル、業務改善・業務企画の提案～システム開発、IT基盤サービスなど、ビジネス・テクニカルの両面から支援する。","グローバル企業の情報システム部門という位置付けで、他のユーザー系SIerとは違い外販は一切ない。すべて本体・グループ企業とのプライム案件。IT・業務戦略の企画段階から関わっていく。そのため、案件によってはシステムを作ることがソリューションではないという判断を行うなど、システムと切り離したプロジェクトもある。経営課題、情報化のプランニングなどに関する意思決定に踏み込んで業務を行うことも可能。IT投資額も大きく、グローバル企業のため海外案件に携わるチャンスもある。半期のキャリアプランと業績考課をすり合わせて行うなど、公募を含めてジョブローテーションの機会もあり、ユーザー側の役割を担いながらキャリアパスを作っていける環境。プロジェクトの規模も大きい為、体系立てた業務遂行のノウハウ・経験も積んでいける。残業に対してのチェックも行っており、労働環境としてはファーム、SIerなどと比べてそれほどハードでは無い。実際の開発はベンダーを使うことが多い。他コンサルティングファームと協業することもあるが、手伝ってもらうという感覚で自社が主導でPJを行う。地に足付けてキャリアを積んでいける環境。","2003","7","10000","1108","東京都","品川区北品川4-7-35　御殿山ヒルズ18F","高いレベルでのアウトプットが求められる、今後の全社経営を担っていただく重要なポジションです。","半藤","2008/07/14 18:49:22"
"112077","1","0","","","","","","","03","00","経営企画・事業企画","","06","00","経理・財務・会計","","","","","","ソニーグローバルソリューションズ株式会社","経営管理スタッフ","全社およびプロジェクト損益管理業務・全社損益分析、管理および担当部門のプロジェクト損益分析、管理業務全般。全社事業計画策定サポート、損益分析・事業計画などにおける部門サポート、関連社内システムの運営管理などをお任せします。","財務、管理会計の業務経験（業務知識）。コミュニケーション・調整・交渉能力。","経営管理、プロジェクト損益管理における業務リーディング経験がある方。部門収益管理・分析などのご経験のある方歓迎。","------","","コミュニケーション・調整・交渉能力の高い方。","財務、管理会計の業務経験。","東京都","品川区","","","不問","28","35","450","750","業務拡大における増員です。","100285","コンピュータ（システム）","世界的な国内大手電機メーカーならびにグループの情報システム部門に位置する専門会社。グローバルで多様なビジネス環境を総合的にとらえ、グループの構造改革の一端を担う。ITの側面からビジネスプロセス改革の実現、組織強化のサポートが大きなミッション。IT戦略・ガバナンス確立などのマネジメントコンサル、業務改善・業務企画の提案～システム開発、IT基盤サービスなど、ビジネス・テクニカルの両面から支援する。","グローバル企業の情報システム部門という位置付けで、他のユーザー系SIerとは違い外販は一切ない。すべて本体・グループ企業とのプライム案件。IT・業務戦略の企画段階から関わっていく。そのため、案件によってはシステムを作ることがソリューションではないという判断を行うなど、システムと切り離したプロジェクトもある。経営課題、情報化のプランニングなどに関する意思決定に踏み込んで業務を行うことも可能。IT投資額も大きく、グローバル企業のため海外案件に携わるチャンスもある。半期のキャリアプランと業績考課をすり合わせて行うなど、公募を含めてジョブローテーションの機会もあり、ユーザー側の役割を担いながらキャリアパスを作っていける環境。プロジェクトの規模も大きい為、体系立てた業務遂行のノウハウ・経験も積んでいける。残業に対してのチェックも行っており、労働環境としてはファーム、SIerなどと比べてそれほどハードでは無い。実際の開発はベンダーを使うことが多い。他コンサルティングファームと協業することもあるが、手伝ってもらうという感覚で自社が主導でPJを行う。地に足付けてキャリアを積んでいける環境。","2003","7","10000","1108","東京都","品川区北品川4-7-35　御殿山ヒルズ18F","高いレベルでのアウトプットが求められる、今後の全社経営を担っていただく重要なポジションです。","半藤","2008/07/14 18:49:21"
