求人ID,Newフラグ,トピックスフラグ,テーマ,外資フラグ,ベンチャーフラグ,上場フラグ,リンク（面接官）,リンク（トピックス）,職種大分類コード1,職種中分類コード1,職種大分類名1,職種中分類名1,職種大分類コード2,職種中分類コード2,職種大分類名2,職種中分類名2,職種大分類コード3,職種中分類コード3,職種大分類名3,職種中分類名3,会社名（トピックス用）,職種名,職務内容,求めるスキル（必須条件）,求めるスキル（望ましい条件）,英語レベル,TOEIC,求める人物像,活かせる経験,都道府県1,市区町村1,都道府県2,市区町村2,学歴,年齢下限,年齢上限,年収下限,年収上限,募集背景,企業ID,業種カテゴリ,会社情報（紹介文）,会社情報（その他捕捉）,会社情報（設立）年,会社情報（設立）月,会社情報（資本金）万円,会社情報（従業員数）,企業県名,企業市区町村,ｺﾝｻﾙから一言,担当者,掲載日
1013715,1,0,ハイクラス,,,,,,3,0,経営企画・事業企画,,8,4,営業,企画営業,1,0,トップマネジメント,,株式会社ミスミグループ本社,事業統括ディレクター,“創って（企画）・作って（生産）・売る（販売）”をワンセットにもつ事業チームの統括責任者として、担当商品事業の損益責任を持つ。ビジネスプラン（事業戦略）の策定を行い、グローバルベースで事業を推進する。ビジネスプランを基に新商品開発・メーカー開拓を含む供給体制確立・価格戦略策定/実行・販促活動・顧客クレーム対応などを一気通貫して実施し、同時にチームメンバーのマネジメント・育成も実施する。全社・企業体レベルで発足する組織横断的なプロジェクトにも参画し、より大きな組織の運営に携わる可能性あり。,組織マネジメント経験。事業企画経験。P/L責任経験。ビジネスレベルの英語力。,高い論理的思考力　・スピードある行動力。中国語、その他語学力あれば尚可。,ビジネスレベル,,高い論理的思考力をもち、スピード感をもって行動する方。自らも現場で走り回り、ハンズオンの姿勢をお持ちの方。新しい考え方や、変化を受け入れる柔軟性のある方。,海外での事業経験。事業の立ち上げ・撤退・再生に関わった経験。製造業での就業経験。,東京都,江東区,,,大卒以上,33,40,700,1100,,456,その他,"1963年の創業以来、「縁の下の力持ち」的な存在として、独自の事業モデルで世界の機械産業を支えてきた。2010年度連結売上高は、1,212億円と金融危機以前とほぼ同水準まで急回復。成長の牽引役は国際事業で、その規模はここ9年間で7倍超に拡大、海外売上高比率も27.3％と過去最高を更新。更なる飛躍に向け、グローバル市場で果敢に挑戦し続ける。",多品種少量、短納期に対応すべく変革と成長を続ける。2002年3月期からの6年で連結売上は2.5倍、営業利益は3.3倍。金型部品にスタートし、FA、エレクトロニクス、工具等のツールへと事業領域を拡大してきた。現在は機械工業系事業に注力している、その最大の理由はQCT（品質、コスト、納期）モデルが最も効果的なため。的確な顧客ニーズの把握により部品の標準化を実現している。協力メーカー（300社程度）に対する徹底的な品質管理、海外を含めたロジスティックス体制、工場別の分業体制など、他社の追随を許さないインフラが最大の強み。年1回のカタログ改訂では30％程度の新商品が掲載され売上を牽引している。海外での売上比率も20％程度まで上昇。海外でも日本同様のインフラを確立していることが売上アップの要因。経営者人材の育成にも注力。経営者としての覚悟、理論、実践（チャレンジ）を推奨し、失敗も歓迎する社風。もちろん、失敗についてはその原因に関する調査は徹底的。失敗、反省、学びというサイクルを繰り返すことのできる方であれば活躍の場は広い。,1963,2,498900,4597,東京都,江東区東陽2-4-43,,奈良,2011/11/18 18:21
1013711,1,0,,,,,,,3,0,経営企画・事業企画,,8,4,営業,企画営業,7,3,その他企画・事務・管理,企画系,株式会社ミスミグループ本社,事業開発担当メンバー,各自が担当商品の“創って（企画）・作って（生産）・売る（販売）”を一気通貫で行い、損益責任を担いながら、国内外問わず事業を推進。顧客ニーズヒアリングや競合調査をとおして商品開発。その後、メーカー開拓を含む供給体制確立・価格戦略策定/実行・販促活動・顧客クレーム対応を一気通貫して担当し、商売の仕組みを作り、強い事業を構築する。,自らの手で強い事業を構築しようとする意欲が高い方。,語学力（英語、中国語他）。,スタンダードレベル,,論理的思考力をもち、スピード感をもって行動する方。新しい考え方や、変化を受け入れる柔軟性のある方。マルチタスクが出来る方。,製造業の生産部門／技術部門にて就業経験。事業会社の立ち上げ・撤退・再生経験。海外での事業経験。<BR>,東京都,江東区,,,大卒以上,25,35,450,700,,456,その他,"1963年の創業以来、「縁の下の力持ち」的な存在として、独自の事業モデルで世界の機械産業を支えてきた。2010年度連結売上高は、1,212億円と金融危機以前とほぼ同水準まで急回復。成長の牽引役は国際事業で、その規模はここ9年間で7倍超に拡大、海外売上高比率も27.4％と過去最高を更新。更なる飛躍に向け、グローバル市場で果敢に挑戦し続ける。",多品種少量、短納期に対応すべく変革と成長を続ける。2002年3月期からの6年で連結売上は2.5倍、営業利益は3.3倍。金型部品にスタートし、FA、エレクトロニクス、工具等のツールへと事業領域を拡大してきた。現在は機械工業系事業に注力している、その最大の理由はQCT（品質、コスト、納期）モデルが最も効果的なため。的確な顧客ニーズの把握により部品の標準化を実現している。協力メーカー（300社程度）に対する徹底的な品質管理、海外を含めたロジスティックス体制、工場別の分業体制など、他社の追随を許さないインフラが最大の強み。年1回のカタログ改訂では30％程度の新商品が掲載され売上を牽引している。海外での売上比率も20％程度まで上昇。海外でも日本同様のインフラを確立していることが売上アップの要因。経営者人材の育成にも注力。経営者としての覚悟、理論、実践（チャレンジ）を推奨し、失敗も歓迎する社風。もちろん、失敗についてはその原因に関する調査は徹底的。失敗、反省、学びというサイクルを繰り返すことのできる方であれば活躍の場は広い。,1963,2,498900,4597,東京都,江東区東陽2-4-43,,奈良,2011/11/18 18:21
1013719,1,0,ハイクラス,,,,,,16,0,その他,,7,3,その他企画・事務・管理,企画系,12,0,機械・メカトロニクスエンジニア,,株式会社ミスミグループ本社,MPS推進室統括ディレクター,協力メーカーへの改善指導実施。リードタイム短縮・生産性向上などを現場実地でのハンズオン実践指導。改善指導を通じ改善事例の蓄積を行い、他メーカーへの活動に活用する。メンバーは、リードタイム短縮・生産性向上のための改善を実行する中心的役割を担って頂きます。また、担当メーカーの製造現場にて定量分析なども実施。ディレクターは本活動の推進とチームメンバーの育成責任を負う。,IE（インダストリアルエンジニアリング）を用いた製造現場での改善経験。工場現場での改善推進、本社機能での改善プランニング経験。トヨタ生産方式の実践・導入経験。組織マネジメント経験。PCスキル（excel、powerpoint必須）。情報収集力、分析力、論理的思考力。,地頭良く、一を聞いて十を知ることが出来るビジネスセンス。リーダー経験ある方歓迎。問題解決能力。判断力。,,,情報収集力、分析力、論理的思考力のある方。自らも現場で走り回り、ハンズオンの姿勢をお持ちの方。フットワークの軽い方。新しい考え方や、変化を受け入れる柔軟性のある方。,IE（インダストリアルエンジニアリング）を用いた製造現場での改善経験。,東京都,江東区,,,大卒以上,35,45,800,1000,ビジネス強化のための増員。,456,その他,"1963年の創業以来、「縁の下の力持ち」的な存在として、独自の事業モデルで世界の機械産業を支えてきた。2010年度連結売上高は、1,212億円と金融危機以前とほぼ同水準まで急回復。成長の牽引役は国際事業で、その規模はここ9年間で7倍超に拡大、海外売上高比率も27.5％と過去最高を更新。更なる飛躍に向け、グローバル市場で果敢に挑戦し続ける。",多品種少量、短納期に対応すべく変革と成長を続ける。2002年3月期からの6年で連結売上は2.5倍、営業利益は3.3倍。金型部品にスタートし、FA、エレクトロニクス、工具等のツールへと事業領域を拡大してきた。現在は機械工業系事業に注力している、その最大の理由はQCT（品質、コスト、納期）モデルが最も効果的なため。的確な顧客ニーズの把握により部品の標準化を実現している。協力メーカー（300社程度）に対する徹底的な品質管理、海外を含めたロジスティックス体制、工場別の分業体制など、他社の追随を許さないインフラが最大の強み。年1回のカタログ改訂では30％程度の新商品が掲載され売上を牽引している。海外での売上比率も20％程度まで上昇。海外でも日本同様のインフラを確立していることが売上アップの要因。経営者人材の育成にも注力。経営者としての覚悟、理論、実践（チャレンジ）を推奨し、失敗も歓迎する社風。もちろん、失敗についてはその原因に関する調査は徹底的。失敗、反省、学びというサイクルを繰り返すことのできる方であれば活躍の場は広い。,1963,2,498900,4597,東京都,江東区東陽2-4-43,流通センターの改革、モデル革新を目指し、生産性向上、リードタイム削減、コストダウン等パフォーマンス向上の施策の立案および実行がミッション。,松尾,2011/11/18 18:21
1013720,1,0,,,,,,,16,0,その他,,7,3,その他企画・事務・管理,企画系,12,0,機械・メカトロニクスエンジニア,,株式会社ミスミグループ本社,MPS推進室メンバー,協力メーカーへの改善指導実施。リードタイム短縮・生産性向上などを現場実地でのハンズオン実践指導。改善指導を通じ改善事例の蓄積を行い、他メーカーへの活動に活用する。メンバーは、リードタイム短縮・生産性向上のための改善を実行する中心的役割を担って頂きます。また、担当メーカーの製造現場にて定量分析なども実施。,IE（インダストリアルエンジニアリング）を用いた製造現場での改善経験。工場現場での改善推進、本社機能での改善プランニング経験。トヨタ生産方式の実践・導入経験あれば尚可。PCスキル（excel、powerpoint必須）。情報収集力、分析力、論理的思考力。,地頭良く、一を聞いて十を知ることが出来るビジネスセンス。リーダー経験ある方歓迎。問題解決能力。判断力。,,,情報収集力、分析力、論理的思考力のある方。自らも現場で走り回り、ハンズオンの姿勢をお持ちの方。フットワークの軽い方。新しい考え方や、変化を受け入れる柔軟性のある方。,IE（インダストリアルエンジニアリング）を用いた製造現場での改善経験,東京都,江東区,,,大卒以上,25,35,450,600,ビジネス強化のための増員。,456,その他,"1963年の創業以来、「縁の下の力持ち」的な存在として、独自の事業モデルで世界の機械産業を支えてきた。2010年度連結売上高は、1,212億円と金融危機以前とほぼ同水準まで急回復。成長の牽引役は国際事業で、その規模はここ9年間で7倍超に拡大、海外売上高比率も27.6％と過去最高を更新。更なる飛躍に向け、グローバル市場で果敢に挑戦し続ける。",多品種少量、短納期に対応すべく変革と成長を続ける。2002年3月期からの6年で連結売上は2.5倍、営業利益は3.3倍。金型部品にスタートし、FA、エレクトロニクス、工具等のツールへと事業領域を拡大してきた。現在は機械工業系事業に注力している、その最大の理由はQCT（品質、コスト、納期）モデルが最も効果的なため。的確な顧客ニーズの把握により部品の標準化を実現している。協力メーカー（300社程度）に対する徹底的な品質管理、海外を含めたロジスティックス体制、工場別の分業体制など、他社の追随を許さないインフラが最大の強み。年1回のカタログ改訂では30％程度の新商品が掲載され売上を牽引している。海外での売上比率も20％程度まで上昇。海外でも日本同様のインフラを確立していることが売上アップの要因。経営者人材の育成にも注力。経営者としての覚悟、理論、実践（チャレンジ）を推奨し、失敗も歓迎する社風。もちろん、失敗についてはその原因に関する調査は徹底的。失敗、反省、学びというサイクルを繰り返すことのできる方であれば活躍の場は広い。,1963,2,498900,4597,東京都,江東区東陽2-4-43,流通センターの改革、モデル革新を目指し、生産性向上、リードタイム削減、コストダウン等パフォーマンス向上の施策の立案および実行がミッション。,松尾,2011/11/18 18:21
1013722,1,0,,,,,,,7,4,その他企画・事務・管理,その他,7,3,その他企画・事務・管理,企画系,16,0,その他,,株式会社ミスミグループ本社,コンプライアンス輸出関連・化学物質・情報セキュリティ担当課長,世界主要地域(中国・北米・欧州・東南アジア諸国)にある海外現法へ、200万アイテム以上に及ぶ商品を輸出する際に、該非判定・海外規制対応・化学物質管理（RoHS、REACH等の化学規制対応）を推進する。上記業務に加え、個人情報保護法に基づく社内の情報セキュリティ管理も担当。いずれも社内の各部署と連携をとり規制対応し、社内の認知向上も行う。,輸出管理部門、国際部門、物流部門、設計部門等、何らかの形で海外規制対応、輸出管理に関わった経験。高い論理的思考力。PCスキル（excel、powerpoint　※access知識あれば尚可）。,輸出管理部門、国際部門、物流部門、設計部門等、何らかの形で海外規制対応、輸出管理に関わった経験。,スタンダードレベル,,高い論理的思考力をお持ちの方。社内調整力・コミュニケーション力のある方。フットワークの軽い方。新しい考え方や、変化を受け入れる柔軟性のある方。,輸出管理部門、国際部門、物流部門、設計部門等、何らかの形で海外規制対応、輸出管理に関わった経験,東京都,江東区,,,大卒以上,35,40,600,700,海外ビジネス強化のための増員。,456,その他,"1963年の創業以来、「縁の下の力持ち」的な存在として、独自の事業モデルで世界の機械産業を支えてきた。2010年度連結売上高は、1,212億円と金融危機以前とほぼ同水準まで急回復。成長の牽引役は国際事業で、その規模はここ9年間で7倍超に拡大、海外売上高比率も27.7％と過去最高を更新。更なる飛躍に向け、グローバル市場で果敢に挑戦し続ける。",多品種少量、短納期に対応すべく変革と成長を続ける。2002年3月期からの6年で連結売上は2.5倍、営業利益は3.3倍。金型部品にスタートし、FA、エレクトロニクス、工具等のツールへと事業領域を拡大してきた。現在は機械工業系事業に注力している、その最大の理由はQCT（品質、コスト、納期）モデルが最も効果的なため。的確な顧客ニーズの把握により部品の標準化を実現している。協力メーカー（300社程度）に対する徹底的な品質管理、海外を含めたロジスティックス体制、工場別の分業体制など、他社の追随を許さないインフラが最大の強み。年1回のカタログ改訂では30％程度の新商品が掲載され売上を牽引している。海外での売上比率も20％程度まで上昇。海外でも日本同様のインフラを確立していることが売上アップの要因。経営者人材の育成にも注力。経営者としての覚悟、理論、実践（チャレンジ）を推奨し、失敗も歓迎する社風。もちろん、失敗についてはその原因に関する調査は徹底的。失敗、反省、学びというサイクルを繰り返すことのできる方であれば活躍の場は広い。,1963,2,498900,4597,東京都,江東区東陽2-4-43,,松尾,2011/11/18 18:21
1013717,1,0,ハイクラス,,,,,,16,0,その他,,16,0,その他,,12,0,機械・メカトロニクスエンジニア,,株式会社ミスミグループ本社,グローバルロジスティクス／マネジャー,海外での“多品種少量＋短納期”を推進するために、日本国内で構築してきた独自の物流方式を、各国でローカライズし展開していく。同時に、グローバルでの物流網の仕組みを、企画・構築する。マネジャーは、各国物流拠点のBPR推進と、サプライチェーン改善の立案・実行を行い、チームメンバーの育成責任を負う。,物流部門での改善経験に携わった人（※例：メーカーの物流部門経験、物流会社での現場経験、コンサルでの物流プロジェクト経験）。組織マネジメント経験。分析力、観察力、論理的思考力。PCスキル（excel、powerpoint、access必須）。改善・改革をドライブする実行力、主体的にリードする力のある方。新しい考え方や、変化を受け入れる柔軟性のある方。SCMなど最新の戦略ロジスティクスシステムのノウハウがある方。,分析力、観察力、論理的思考力をもっている方。SCMなど最新の戦略ロジスティクスシステムのノウハウがある方。,ビジネスレベル,,改善・改革をドライブする実行力、主体的にリードする力のある方。新しい考え方や、変化を受け入れる柔軟性のある方。,工場での現場改善経験（※特に粘り強く物流の改善活動を行い、成果をあげてきた方）。社内外のプロジェクトへの参画経験。海外勤務経験。,東京都,江東区,,,大卒以上,35,40,700,1000,海外ビジネス強化のための増員。,456,その他,"1963年の創業以来、「縁の下の力持ち」的な存在として、独自の事業モデルで世界の機械産業を支えてきた。2010年度連結売上高は、1,212億円と金融危機以前とほぼ同水準まで急回復。成長の牽引役は国際事業で、その規模はここ9年間で7倍超に拡大、海外売上高比率も27.8％と過去最高を更新。更なる飛躍に向け、グローバル市場で果敢に挑戦し続ける。",多品種少量、短納期に対応すべく変革と成長を続ける。2002年3月期からの6年で連結売上は2.5倍、営業利益は3.3倍。金型部品にスタートし、FA、エレクトロニクス、工具等のツールへと事業領域を拡大してきた。現在は機械工業系事業に注力している、その最大の理由はQCT（品質、コスト、納期）モデルが最も効果的なため。的確な顧客ニーズの把握により部品の標準化を実現している。協力メーカー（300社程度）に対する徹底的な品質管理、海外を含めたロジスティックス体制、工場別の分業体制など、他社の追随を許さないインフラが最大の強み。年1回のカタログ改訂では30％程度の新商品が掲載され売上を牽引している。海外での売上比率も20％程度まで上昇。海外でも日本同様のインフラを確立していることが売上アップの要因。経営者人材の育成にも注力。経営者としての覚悟、理論、実践（チャレンジ）を推奨し、失敗も歓迎する社風。もちろん、失敗についてはその原因に関する調査は徹底的。失敗、反省、学びというサイクルを繰り返すことのできる方であれば活躍の場は広い。,1963,2,498900,4597,東京都,江東区東陽2-4-43,流通センターの改革、モデル革新を目指し、生産性向上、リードタイム削減、コストダウン等パフォーマンス向上の施策の立案および実行がミッション。,松尾,2011/11/18 18:20
1013718,1,0,,,,,,,16,0,その他,,16,0,その他,,12,0,機械・メカトロニクスエンジニア,,株式会社ミスミグループ本社,グローバルロジスティクス／メンバー,海外での“多品種少量＋短納期”を推進するために、日本国内で構築してきた独自の物流方式を、各国でローカライズし展開していく。同時に、グローバルでの物流網の仕組みを、企画・構築する。マネージャーの下でBPR推進を中心に担当頂きます。,物流部門での改善経験に携わった人（※例：メーカーの物流部門経験、物流会社での現場経験、コンサルでの物流プロジェクト経験）。分析力、観察力、論理的思考力。PCスキル（excel、powerpoint、access必須）。改善・改革をドライブする実行力、主体的にリードする力のある方。新しい考え方や、変化を受け入れる柔軟性のある方。SCMなど最新の戦略ロジスティクスシステムのノウハウがある方。,分析力、観察力、論理的思考力をもっている方。SCMなど最新の戦略ロジスティクスシステムのノウハウがある方。,スタンダードレベル,,改善・改革をドライブする実行力、主体的にリードする力のある方。新しい考え方や、変化を受け入れる柔軟性のある方。,工場での現場改善経験（※特に粘り強く物流の改善活動を行い、成果をあげてきた方）。社内外のプロジェクトへの参画経験。海外勤務経験。,東京都,江東区,,,大卒以上,25,35,500,700,海外ビジネス強化のための増員。,456,その他,"1963年の創業以来、「縁の下の力持ち」的な存在として、独自の事業モデルで世界の機械産業を支えてきた。2010年度連結売上高は、1,212億円と金融危機以前とほぼ同水準まで急回復。成長の牽引役は国際事業で、その規模はここ9年間で7倍超に拡大、海外売上高比率も27.9％と過去最高を更新。更なる飛躍に向け、グローバル市場で果敢に挑戦し続ける。",多品種少量、短納期に対応すべく変革と成長を続ける。2002年3月期からの6年で連結売上は2.5倍、営業利益は3.3倍。金型部品にスタートし、FA、エレクトロニクス、工具等のツールへと事業領域を拡大してきた。現在は機械工業系事業に注力している、その最大の理由はQCT（品質、コスト、納期）モデルが最も効果的なため。的確な顧客ニーズの把握により部品の標準化を実現している。協力メーカー（300社程度）に対する徹底的な品質管理、海外を含めたロジスティックス体制、工場別の分業体制など、他社の追随を許さないインフラが最大の強み。年1回のカタログ改訂では30％程度の新商品が掲載され売上を牽引している。海外での売上比率も20％程度まで上昇。海外でも日本同様のインフラを確立していることが売上アップの要因。経営者人材の育成にも注力。経営者としての覚悟、理論、実践（チャレンジ）を推奨し、失敗も歓迎する社風。もちろん、失敗についてはその原因に関する調査は徹底的。失敗、反省、学びというサイクルを繰り返すことのできる方であれば活躍の場は広い。,1963,2,498900,4597,東京都,江東区東陽2-4-43,流通センターの改革、モデル革新を目指し、生産性向上、リードタイム削減、コストダウン等パフォーマンス向上の施策の立案および実行がミッション。,松尾,2011/11/18 18:20
1013721,1,0,,,,,,,5,0,人事,,5,0,人事,,,,,,株式会社ミスミグループ本社,人材開発室人事企画担当,人材開発室の中で、人事基幹業務のうち、主に以下の業務を担当頂きます。給与管理及び勤務管理(給与計算は外部委託)。人事諸制度の企画・改廃。人事評価制度の運用・昇給管理。人件費予算の管理（年間予算編成と実績管理）。社員データベースの整備を含む、人事情報システムの導入・改廃。労務関連統計の作成と分析。,企業内人事で、3年以上の実務経験。給与・勤務管理の実務経験。論理的思考力・分析力。PCスキル（※マイクロソフトオフィス全般。特にExcel、Powerpointは使用頻度高く、中級以上のスキルが必要。）,人事情報システム、またはその他システムを導入した経験。海外で勤務した経験など歓迎。,,,論理的思考力・分析力をお持ちの方。新しい考え方や、変化を受け入れる柔軟性のある方。協調・提案力・フットワークのある方。社会保険労務士や、衛生管理者など人事関係の公的資格をお持ちの方。,人事情報システム、またはその他システムを導入した経験。海外で勤務した経験。<BR>,東京都,江東区,,,大卒以上,28,35,500,650,ビジネス強化のための増員。,456,その他,"1963年の創業以来、「縁の下の力持ち」的な存在として、独自の事業モデルで世界の機械産業を支えてきた。2010年度連結売上高は、1,212億円と金融危機以前とほぼ同水準まで急回復。成長の牽引役は国際事業で、その規模はここ9年間で7倍超に拡大、海外売上高比率も27.10％と過去最高を更新。更なる飛躍に向け、グローバル市場で果敢に挑戦し続ける。",多品種少量、短納期に対応すべく変革と成長を続ける。2002年3月期からの6年で連結売上は2.5倍、営業利益は3.3倍。金型部品にスタートし、FA、エレクトロニクス、工具等のツールへと事業領域を拡大してきた。現在は機械工業系事業に注力している、その最大の理由はQCT（品質、コスト、納期）モデルが最も効果的なため。的確な顧客ニーズの把握により部品の標準化を実現している。協力メーカー（300社程度）に対する徹底的な品質管理、海外を含めたロジスティックス体制、工場別の分業体制など、他社の追随を許さないインフラが最大の強み。年1回のカタログ改訂では30％程度の新商品が掲載され売上を牽引している。海外での売上比率も20％程度まで上昇。海外でも日本同様のインフラを確立していることが売上アップの要因。経営者人材の育成にも注力。経営者としての覚悟、理論、実践（チャレンジ）を推奨し、失敗も歓迎する社風。もちろん、失敗についてはその原因に関する調査は徹底的。失敗、反省、学びというサイクルを繰り返すことのできる方であれば活躍の場は広い。,1963,2,498900,4597,東京都,江東区東陽2-4-43,,松尾,2011/11/18 18:20
1013716,1,0,ハイクラス,,,,,,16,0,その他,,16,0,その他,,12,0,機械・メカトロニクスエンジニア,,株式会社ミスミグループ本社,生産企画室（物流企画・短納期生産推進）,グローバル生産戦略の企画・計画・実行。海外生産拠点の拡張・新設計画に参画し、拠点立上げプロジェクトのタスク・マネジメントを行い、物流・製造プロセスの設計・構築を推進。下記3つのうち、いずれかを担当頂きます。（1）物流企画担当マネジャー：新設拠点のグローバル物流の設計、導入の指揮をとり、低コストと短納期をバランスさせる最適な物流システムを構築。同時にチームメンバーのマネジメント・育成を実施。（2）短納期生産推進メンバー：各商品の生産リードタイム短縮のため、新設拠点に最適な生産指示や管理の仕組みを構築。並びに、工場建設/生産立ち上げプロジェクトを推進。,製造業での生産企画に深く携わってきた経験。プロジェクトマネジメント経験。物流業務（工場出荷業務等を含む）の経験（※物流企画マネジャーの場合必須）。工場における工程管理経験（※短納期推進メンバーのみ必須）,情報収集力、分析力、論理的思考力。PCスキル（excel、powerpoint必須※企画・報告資料作成の際に必要）。工場管理、生産技術、調達、物流などの専門知識のある方。,ビジネスレベル,,情報収集力、分析力、論理的思考力をお持ちの方。フットワークの軽い方。大勢の人を巻き込めるコミュニケーション力のある方。新しい考え方や、変化を受け入れる柔軟性のある方。,チームマネジメント経験。工場設立プロジェクト参画経験。海外勤務経験。,東京都,江東区,,,大卒以上,27,45,500,850,海外ビジネス強化のための増員。,456,その他,"1963年の創業以来、「縁の下の力持ち」的な存在として、独自の事業モデルで世界の機械産業を支えてきた。2010年度連結売上高は、1,212億円と金融危機以前とほぼ同水準まで急回復。成長の牽引役は国際事業で、その規模はここ9年間で7倍超に拡大、海外売上高比率も27.11％と過去最高を更新。更なる飛躍に向け、グローバル市場で果敢に挑戦し続ける。",多品種少量、短納期に対応すべく変革と成長を続ける。2002年3月期からの6年で連結売上は2.5倍、営業利益は3.3倍。金型部品にスタートし、FA、エレクトロニクス、工具等のツールへと事業領域を拡大してきた。現在は機械工業系事業に注力している、その最大の理由はQCT（品質、コスト、納期）モデルが最も効果的なため。的確な顧客ニーズの把握により部品の標準化を実現している。協力メーカー（300社程度）に対する徹底的な品質管理、海外を含めたロジスティックス体制、工場別の分業体制など、他社の追随を許さないインフラが最大の強み。年1回のカタログ改訂では30％程度の新商品が掲載され売上を牽引している。海外での売上比率も20％程度まで上昇。海外でも日本同様のインフラを確立していることが売上アップの要因。経営者人材の育成にも注力。経営者としての覚悟、理論、実践（チャレンジ）を推奨し、失敗も歓迎する社風。もちろん、失敗についてはその原因に関する調査は徹底的。失敗、反省、学びというサイクルを繰り返すことのできる方であれば活躍の場は広い。,1963,2,498900,4597,東京都,江東区東陽2-4-43,流通センターの改革、モデル革新を目指し、生産性向上、リードタイム削減、コストダウン等パフォーマンス向上の施策の立案および実行がミッション。,松尾,2011/11/18 18:20
1013742,1,0,ハイクラス,,,,,,16,0,その他,,12,0,機械・メカトロニクスエンジニア,,,,,,株式会社ミスミグループ本社,生産企画室（SCM企画）ディレクター,グローバル生産戦略の企画・計画・実行。海外生産拠点の拡張・新設計画に参画し、拠点立上げプロジェクトのタスク・マネジメントを行い、SCMの設計・構築を推進。新設拠点のサプライチェーン全体にわたる業務フローの設計、導入の指揮をとり、グローバル生産戦略に最適な業務フローを確立。同時にチームメンバーのマネジメント・育成を実施。,製造業での生産企画に深く携わってきた経験。プロジェクトマネジメント経験。工場管理業務全般の経験。物流業務（工場出荷業務等を含む）の経験。情報収集力、分析力、論理的思考力。PCスキル（excel、powerpoint必須※企画・報告資料作成の際に必要）。工場管理、生産技術、調達、物流などの専門知識のある方。,,ビジネスレベル,,情報収集力、分析力、論理的思考力をお持ちの方。フットワークの軽い方。大勢の人を巻き込めるコミュニケーション力のある方。新しい考え方や、変化を受け入れる柔軟性のある方。,製造業での生産企画に深く携わってきた経験。プロジェクトマネジメント経験。工場管理業務全般の経験。,東京都,江東区,,,大卒以上,32,45,800,1000,海外ビジネス強化のための増員。,456,その他,"1963年の創業以来、「縁の下の力持ち」的な存在として、独自の事業モデルで世界の機械産業を支えてきた。2010年度連結売上高は、1,212億円と金融危機以前とほぼ同水準まで急回復。成長の牽引役は国際事業で、その規模はここ9年間で7倍超に拡大、海外売上高比率も27.12％と過去最高を更新。更なる飛躍に向け、グローバル市場で果敢に挑戦し続ける。",多品種少量、短納期に対応すべく変革と成長を続ける。2002年3月期からの6年で連結売上は2.5倍、営業利益は3.3倍。金型部品にスタートし、FA、エレクトロニクス、工具等のツールへと事業領域を拡大してきた。現在は機械工業系事業に注力している、その最大の理由はQCT（品質、コスト、納期）モデルが最も効果的なため。的確な顧客ニーズの把握により部品の標準化を実現している。協力メーカー（300社程度）に対する徹底的な品質管理、海外を含めたロジスティックス体制、工場別の分業体制など、他社の追随を許さないインフラが最大の強み。年1回のカタログ改訂では30％程度の新商品が掲載され売上を牽引している。海外での売上比率も20％程度まで上昇。海外でも日本同様のインフラを確立していることが売上アップの要因。経営者人材の育成にも注力。経営者としての覚悟、理論、実践（チャレンジ）を推奨し、失敗も歓迎する社風。もちろん、失敗についてはその原因に関する調査は徹底的。失敗、反省、学びというサイクルを繰り返すことのできる方であれば活躍の場は広い。,1963,2,498900,4597,東京都,江東区東陽2-4-43,流通センターの改革、モデル革新を目指し、生産性向上、リードタイム削減、コストダウン等パフォーマンス向上の施策の立案および実行がミッション。,松尾,2011/11/18 18:20
