求人ID,Newフラグ,トピックスフラグ,テーマ,外資フラグ,ベンチャーフラグ,上場フラグ,リンク（面接官）,リンク（トピックス）,職種大分類コード1,職種中分類コード1,職種大分類名1,職種中分類名1,職種大分類コード2,職種中分類コード2,職種大分類名2,職種中分類名2,職種大分類コード3,職種中分類コード3,職種大分類名3,職種中分類名3,会社名（トピックス用）,職種名,職務内容,求めるスキル（必須条件）,求めるスキル（望ましい条件）,英語レベル,TOEIC,求める人物像,活かせる経験,都道府県1,市区町村1,都道府県2,市区町村2,学歴,年齢下限,年齢上限,年収下限,年収上限,募集背景,企業ID,業種カテゴリ,会社情報（紹介文）,会社情報（その他捕捉）,会社情報（設立）年,会社情報（設立）月,会社情報（資本金）万円,会社情報（従業員数）,企業県名,企業市区町村,ｺﾝｻﾙから一言,担当者,掲載日
1013989,1,0,ハイクラス/ベンチャー,,1,,,,10,7,ITエンジニア,ネットワーク・セキュリティ,10,7,ITエンジニア,ネットワーク・セキュリティ,10,2,ITエンジニア,オープン系システム,株式会社コロプラ,インフラエンジニア,自社「位置ゲー」サービスのサーバ・ネットワークの設計・開発・運用をお願いします。登録ユーザー数、ページビューが膨大なサービスですから、単にサーバ／ネットワークインフラを作るだけでなく、パフォーマンス改善やセキュリティ対策なども求められます。サーバは現在数百台規模で運用していますが、急激な勢いで規模拡大が進んでおり、増え続けるトラフィックに対応すべくサーバ構成も常に改善し続けています。運用やトラブル対応、または開発部門からの依頼によるサーバ増強といった受け身の業務だけではなく、自らの経験を活かし、より効率的なインフラづくりのため挑戦して行ってくれる方を求めています。,規模にかかわらずサーバ／ネットワークインフラの構築・運用経験（3年以上）。TCP/IPネットワークおよびLinux/Apache/MySQLサーバ構築に関する知識・経験。数百台～数千台規模のサービスを自分の手で構築／運用してみたいという意欲がある方。,モバイル／ゲームサイトのインフラ構築・運用経験。クラウド／仮想環境／CDNを利用したインフラ構築・運用経験。DNS、ロードバランサ、監視フレームワーク等の構築・運用経験。運用効率化のためのスクリプトや管理フレームワークの構築・運用経験。Linux、MySQL、Apache、nginx、KVS(memcache、redis)、PHP、Tomcat 等に関する深い知識・経験。パフォーマンスチューニング(DB、Web全般)。障害対応経験、英語技術文書(英文一次情報)の読解能力。,,,3年後、5年後のキャリアパスについてきちんとした考えを持っていて説明が出来る方。なにか1つでも絶対的に自信がある経験・スキルをお持ちの方。アンテナが高く、今後の業界についてご自身なりの考え方をお持ちの方。変化に適応できる方。先入観なく新しいことに取り組める方。,規模にかかわらずサーバ／ネットワークインフラの構築・運用経験。,東京都,渋谷区,,,高卒以上,24,39,360,960,業務拡大に伴う募集。,1003605,インターネット,"ケータイの位置情報（GPS）を利用した新感覚携帯コミュニケーションゲーム／プラットフォームを運営する2008年設立のベンチャー企業。2010年10月から始まった世界市場スマートフォン向けの新戦略も非常に好調で、2012年3月現在のプラットフォーム有効会員数は260万、スマートフォン専用ゲームインストールは300万DL、月間位置登録回数は約4,500万、月間PV数は約40億と急成長を続けています。",位置ゲーの楽しさをとおして「人々の生活をエンタテインメントにする」ことを社命としています。特産品を販売するリアルの店舗とのタイアップや、全国の鉄道・フェリー会社と提携して企画を行うなど、多彩な切り口からユーザーが楽しむことができる事業を創出。このオフラインリアル提携は拡大を続けています。また、位置情報を利用可能なプラットフォーム上では、外部パートナーによる位置情報ゲームがリリースされ、こちらも好調です。更に、スマートフォン専用ゲームは非常にクオリティが高く、Google　Play（旧Android　Market）上で高評価を獲得。グローバルでユーザー数を増やし続けています。代表取締役、サービス統括部取締役兼部長、サービス統括部執行役員は現役のエンジニアであり、エンジニアの方にも是非お勧めさせていただきたい企業です。,2008,10,50637,116,東京都,渋谷区恵比寿南1-15-1　A-PLACE恵比寿南3F,数百台～数千台規模のサービスを自分の手で構築／運用してみたい方、ゲームを作るだけではなく日本経済や地域活性化に貢献したい方などにお薦めです。,永田,2012/5/10 11:16
1013988,1,0,ハイクラス/ベンチャー,,1,,,,10,8,ITエンジニア,WEBアプリケーション,10,2,ITエンジニア,オープン系システム,10,10,ITエンジニア,その他IT系,株式会社コロプラ,スマートフォンエンジニア,HTML5とJavaScriptを使った完全WEB型スマートフォンアプリなど、自社スマートフォンサービスの設計、開発、運用などを中心に担当していただきます。ゲーム内で開催されるイベントについては、企画段階から携わり仕様の決定から設計、開発を行います。ゲームバランスや操作性の追求のみならず、サーバーにかかる負荷予測も視野にいれて業務に携わっていただくことになります。短期間で新規に開発する内容が多いため、スピード感とともに常に客観的な視点で品質を見極める力が求められます。また、新規サービスを立ち上げる時には、初期段階である市場調査や事業計画立案のフェーズから参画していただき、アプリのリリースまで一貫して携わることができます。フラットな組織で各エンジニアが全てのライフサイクルを一貫して担当します。特に上流・下流といった分業制度はありません。,下記のいずれかの経験：●iPhone、又は、Androidアプリケーションの開発・運用経験、●PHPでの開発経験。Web型のスマートフォンアプリ開発に興味のある方。仕様書ベースでは無く、コミュニケーションをベースに開発出来る方。トライ&エラーを繰り返しながら、分析・改善する思考をお持ちの方。「まずはやってみよう」という姿勢で仕事に取り組める方。企画段階から携わり、世の中にインパクトを与えるサービスを自分の手で開発してみたいという意欲がある方。,モバイル／ゲームサイトのWebアプリケーション構築・運用経験。キャリア位置情報サービス／地理情報システムに関する知識・経験。コンシューマーゲームの開発、オンラインゲームの構築・運用経験。ZendFrameworkなどのPHPフレームワークに関する知識・経験。Linuxに関する知識・経験。MySQLに関する知識・経験。,,,3年後、5年後のキャリアパスについてきちんとした考えを持っていて説明が出来る方。なにか1つでも絶対的に自信がある経験・スキルをお持ちの方。アンテナが高く、今後の業界についてご自身なりの考え方をお持ちの方。変化に適応できる方。先入観なく新しいことに取り組める方。,iPhone、又は、Androidアプリケーションの開発・運用経験。PHPでの開発経験。,東京都,渋谷区,,,高卒以上,24,39,360,960,ビジネス拡大に伴う募集。,1003605,インターネット,"ケータイの位置情報（GPS）を利用した新感覚携帯コミュニケーションゲーム／プラットフォームを運営する2008年設立のベンチャー企業。2010年10月から始まった世界市場スマートフォン向けの新戦略も非常に好調で、2012年3月現在のプラットフォーム有効会員数は260万、スマートフォン専用ゲームインストールは300万DL、月間位置登録回数は約4,500万、月間PV数は約40億と急成長を続けています。",位置ゲーの楽しさをとおして「人々の生活をエンタテインメントにする」ことを社命としています。特産品を販売するリアルの店舗とのタイアップや、全国の鉄道・フェリー会社と提携して企画を行うなど、多彩な切り口からユーザーが楽しむことができる事業を創出。このオフラインリアル提携は拡大を続けています。また、位置情報を利用可能なプラットフォーム上では、外部パートナーによる位置情報ゲームがリリースされ、こちらも好調です。更に、スマートフォン専用ゲームは非常にクオリティが高く、Google　Play（旧Android　Market）上で高評価を獲得。グローバルでユーザー数を増やし続けています。代表取締役、サービス統括部取締役兼部長、サービス統括部執行役員は現役のエンジニアであり、エンジニアの方にも是非お勧めさせていただきたい企業です。,2008,10,50637,116,東京都,渋谷区恵比寿南1-15-1　A-PLACE恵比寿南3F,スマートフォンに未来を感じる方、面白くクオリティの高いゲームを作りたい方、企画から開発まで一貫して携わりたい方などにお薦めです。,永田,2012/5/10 11:16
1014553,1,0,ベンチャー,,1,,,,11,0,WEB・モバイル関連,,11,0,WEB・モバイル関連,,11,0,WEB・モバイル関連,,株式会社コロプラ,ディレクター,HTML5とJavaScriptを使った完全WEB型スマートフォンアプリなど、自社スマートフォンサービスのディレクション・数値分析・運営を行っていただきます。ゲーム内で開催されるイベントについては、企画段階から携わっていただきます。日々の数値を分析し、サイト改善のため施策立案実行をする業務が主となります。,ケータイサイトのディレクション・運営経験（3年以上）。サービス品質の向上、スケジュール管理の経験がある方。,サービスを立上から運用まで一貫して携わったことがある方。ビックタイトルの運用経験のある方。ユーザーターゲット別に受け入れられる（売れる）デザインがわかる方、又は、分析できる能力がある方。日々数値を追ってPDCAのサイクルを回し、サービスに反映できるやり方が分かっている方。他社サービス分析に関する知識・経験。PowerPoint、Excelの知識・経験。,,,コミュニケーション能力、調整能力、協調性のある方。企画力とそれを論理的に説明ができ提案することができる方。,ケータイサイトのディレクション・運営経験。,東京都,渋谷区,,,高卒以上,24,39,400,800,業務拡大に伴う募集。,1003605,インターネット,"ケータイの位置情報（GPS）を利用した新感覚携帯コミュニケーションゲーム／プラットフォームを運営する2008年設立のベンチャー企業。2010年10月から始まった世界市場スマートフォン向けの新戦略も非常に好調で、2012年3月現在のプラットフォーム有効会員数は260万、スマートフォン専用ゲームインストールは300万DL、月間位置登録回数は約4,500万、月間PV数は約40億と急成長を続けています。",位置ゲーの楽しさをとおして「人々の生活をエンタテインメントにする」ことを社命としています。特産品を販売するリアルの店舗とのタイアップや、全国の鉄道・フェリー会社と提携して企画を行うなど、多彩な切り口からユーザーが楽しむことができる事業を創出。このオフラインリアル提携は拡大を続けています。また、位置情報を利用可能なプラットフォーム上では、外部パートナーによる位置情報ゲームがリリースされ、こちらも好調です。更に、スマートフォン専用ゲームは非常にクオリティが高く、Google　Play（旧Android　Market）上で高評価を獲得。グローバルでユーザー数を増やし続けています。代表取締役、サービス統括部取締役兼部長、サービス統括部執行役員は現役のエンジニアであり、エンジニアの方にも是非お勧めさせていただきたい企業です。,2008,10,50637,116,東京都,渋谷区恵比寿南1-15-1　A-PLACE恵比寿南3F,日本経済や地域活性化に貢献したい方にもお薦めです。,永田,2012/5/10 11:16
1013987,1,0,ハイクラス/ベンチャー,,1,,,,10,8,ITエンジニア,WEBアプリケーション,10,2,ITエンジニア,オープン系システム,10,10,ITエンジニア,その他IT系,株式会社コロプラ,Webアプリケーションエンジニア,位置情報を利用したゲームなど、自社サービスの設計、開発、運用などを中心に担当していただきます。また、新規サービスを立ち上げる時には、初期段階である市場調査や事業計画立案のフェーズから参画していただき、位置ゲーアプリのリリースまで一貫して携わることができます。また、当社ではリアルと連動した新しい分野のサービス開発・運営も行っており、新サービスの開発についても積極的に実施しています。場合によっては、これらのサービスにも設計～立上～運用を総合的に担当して頂きます。サービスが急成長しているため、スケーラビリティ確保、パフォーマンスを意識したものづくりを意識しつつ、KPIを重視したサービス作りを行っていただきます。フラットな組織で各エンジニアが全てのライフサイクルを一貫して担当します。特に上流・下流といった分業制度はありません。,Javaを用いたWebアプリケーションの開発・運用経験（Perl、C等の他言語による経験も同様とみなす）。仕様書ベースでは無く、コミュニケーションをベースに開発出来る方。トライ&エラーを繰り返しながら、分析・改善する思考をお持ちの方。「まずはやってみよう」という姿勢で仕事に取り組める方。Linux、Unix、HTTP、XML、およびSQL/RDBMSに関する知識・経験。企画段階から携わり、世の中にインパクトを与えるサービスを自分の手で開発してみたいという意欲がある方。,モバイル／ゲームサイトのWebアプリケーション構築・運用経験。キャリア位置情報サービス／地理情報システムに関する知識・経験。コンシューマーゲームの開発、オンラインゲームの構築・運用経験。Java　EE(Servlet/JSP/JDBC/JPA/JMS)およびSpring　Frameworkに関する知識・経験。ZendFrameworkなどのPHPフレームワークに関する知識・経験。Linuxに関する知識・経験。MySQLに関する知識・経験。,,,3年後、5年後のキャリアパスについてきちんとした考えを持っていて説明が出来る方。なにか1つでも絶対的に自信がある経験・スキルをお持ちの方。アンテナが高く、今後の業界についてご自身なりの考え方をお持ちの方。変化に適応できる方。先入観なく新しいことに取り組める方。,Javaを用いたWebアプリケーションの開発・運用経験。,東京都,渋谷区,,,高卒以上,24,35,360,960,ビジネス拡大に伴う募集。,1003605,インターネット,"ケータイの位置情報（GPS）を利用した新感覚携帯コミュニケーションゲーム／プラットフォームを運営する2008年設立のベンチャー企業。2010年10月から始まった世界市場スマートフォン向けの新戦略も非常に好調で、2012年3月現在のプラットフォーム有効会員数は260万、スマートフォン専用ゲームインストールは300万DL、月間位置登録回数は約4,500万、月間PV数は約40億と急成長を続けています。",位置ゲーの楽しさをとおして「人々の生活をエンタテインメントにする」ことを社命としています。特産品を販売するリアルの店舗とのタイアップや、全国の鉄道・フェリー会社と提携して企画を行うなど、多彩な切り口からユーザーが楽しむことができる事業を創出。このオフラインリアル提携は拡大を続けています。また、位置情報を利用可能なプラットフォーム上では、外部パートナーによる位置情報ゲームがリリースされ、こちらも好調です。更に、スマートフォン専用ゲームは非常にクオリティが高く、Google　Play（旧Android　Market）上で高評価を獲得。グローバルでユーザー数を増やし続けています。代表取締役、サービス統括部取締役兼部長、サービス統括部執行役員は現役のエンジニアであり、エンジニアの方にも是非お勧めさせていただきたい企業です。,2008,10,50637,116,東京都,渋谷区恵比寿南1-15-1　A-PLACE恵比寿南3F,プログラミングを今後も続けていきたい方、企画から開発まで一貫して携わりたい方、ゲームを作るだけではなく日本経済や地域活性化に貢献したい方にお薦めです。,永田,2012/5/10 11:16
1013992,1,0,ハイクラス/ベンチャー,,1,,,,10,2,ITエンジニア,オープン系システム,10,8,ITエンジニア,WEBアプリケーション,10,10,ITエンジニア,その他IT系,株式会社コロプラ,ゲームプログラマ,HTML5+CSS3+JavaScript型次世代ブラウザゲームや、Unityを使ったカジュアルネイティブゲームなど、スマートフォン専用ゲーム制作をしていただきます。打ち合わせでどんどんアイデアを出し、そのアイデアをゲームに組み込んでゆくので、スピード感と積極的なゲーム制作への姿勢が重視される仕事です。自分はもっともっと面白いゲームを作りたい！と貪欲に考えている方をお待ちしています。※コンシューマゲームに触れてきた経験の長い方からの「ゲーム」に対するアイデアを求めています。,オブジェクト指向プログラミング経験。ゲームが大好きな方。ゲーム業界での1年以上の経験がある方。スマートフォンゲームで世界一のチームを作りたい方。,プログラムでのアニメーションやエフェクト表現が強い方。スマートフォンアプリ開発経験がある方。スマートフォンに未来を感じる方。短期間・効率的な開発スタイルに魅力を感じる方。3DCGを用いた開発環境で、ゲーム制作・リリースをした経験がある方。,,,3年後、5年後のキャリアパスについてきちんとした考えを持っていて説明が出来る方。なにか1つでも絶対的に自信がある経験・スキルをお持ちの方。アンテナが高く、今後の業界についてご自身なりの考え方をお持ちの方。変化に適応できる方。先入観なく新しいことに取り組める方。,オブジェクト指向プログラミング経験。,東京都,渋谷区,,,高卒以上,24,39,350,850,ビジネス拡大に伴う募集。,1003605,インターネット,"ケータイの位置情報（GPS）を利用した新感覚携帯コミュニケーションゲーム／プラットフォームを運営する2008年設立のベンチャー企業。2010年10月から始まった世界市場スマートフォン向けの新戦略も非常に好調で、2012年3月現在のプラットフォーム有効会員数は260万、スマートフォン専用ゲームインストールは300万DL、月間位置登録回数は約4,500万、月間PV数は約40億と急成長を続けています。",位置ゲーの楽しさをとおして「人々の生活をエンタテインメントにする」ことを社命としています。特産品を販売するリアルの店舗とのタイアップや、全国の鉄道・フェリー会社と提携して企画を行うなど、多彩な切り口からユーザーが楽しむことができる事業を創出。このオフラインリアル提携は拡大を続けています。また、位置情報を利用可能なプラットフォーム上では、外部パートナーによる位置情報ゲームがリリースされ、こちらも好調です。更に、スマートフォン専用ゲームは非常にクオリティが高く、Google　Play（旧Android　Market）上で高評価を獲得。グローバルでユーザー数を増やし続けています。代表取締役、サービス統括部取締役兼部長、サービス統括部執行役員は現役のエンジニアであり、エンジニアの方にも是非お勧めさせていただきたい企業です。,2008,10,50637,116,東京都,渋谷区恵比寿南1-15-1　A-PLACE恵比寿南3F,スマートフォンに未来を感じる方、面白くクオリティの高いゲームを作りたい方、短期間・効率的な開発スタイルに魅力を感じる方などにお薦めです。,永田,2012/5/10 11:16
1014626,1,0,ベンチャー,,1,,,,16,0,その他,,11,0,WEB・モバイル関連,,,,,,株式会社コロプラ,ゲームグラフィッカー,デザイン業務全般をお願いします。【位置ゲー内の携帯サイト向けグラフィック制作】●サイトレイアウト、画像素材などを広く手がけていただきます。●ブログテンプレートのように変えられるフィールドテーマのデザインをはじめ、イベント特設ページのヘッダやイメージイラストなど、多岐にわたりお任せします。 ●ゲーム内イベントの企画から制作まで携わっていただきます。●開発など各担当者と協力しながらイベント案を固めていき、ページレイアウト、画像の制作などを行っていただきます。 【トレーディングカード＆タイアップ商品のデザイン】実際のアイテム(皮革製品・陶磁器・お菓子などの食品)にうまく反映できるデザインを入稿するため、 それぞれの特産物・名産品の製造過程をよくよく理解してデータを制作することが重要です。【その他】位置ゲーRPGや、GPS連動のお店経営ゲーム内の携帯サイト用グラフィック制作などを担当いただきます。,Illustrator、Photoshopの使用経験。イラストが描けるまたは、デザインのできる方。サイトのユーザビリティーや面白さをメンバーと一緒に追求していける方。ユーザー視点で考えていける方。,DTPなど印刷物のレイアウト編集の実務経験。モバイルサイト制作の実務経験。スマートフォンアプリでの実務経験。美術大学・デザイン系専門学校での就学経験。,,,幅広いデザインワークを経験したい方。3年後、5年後のキャリアパスについてきちんとした考えを持っていて説明が出来る方。なにか1つでも絶対的に自信がある経験・スキルをお持ちの方。アンテナが高く、今後の業界についてご自身なりの考え方をお持ちの方。変化に適応できる方。先入観なく新しいことに取り組める方。,Illustrator、Photoshopの使用経験。,東京都,渋谷区,,,高卒以上,24,39,300,420,ビジネス拡大に伴う募集。,1003605,インターネット,"ケータイの位置情報（GPS）を利用した新感覚携帯コミュニケーションゲーム／プラットフォームを運営する2008年設立のベンチャー企業。2010年10月から始まった世界市場スマートフォン向けの新戦略も非常に好調で、2012年3月現在のプラットフォーム有効会員数は260万、スマートフォン専用ゲームインストールは300万DL、月間位置登録回数は約4,500万、月間PV数は約40億と急成長を続けています。",位置ゲーの楽しさをとおして「人々の生活をエンタテインメントにする」ことを社命としています。特産品を販売するリアルの店舗とのタイアップや、全国の鉄道・フェリー会社と提携して企画を行うなど、多彩な切り口からユーザーが楽しむことができる事業を創出。このオフラインリアル提携は拡大を続けています。また、位置情報を利用可能なプラットフォーム上では、外部パートナーによる位置情報ゲームがリリースされ、こちらも好調です。更に、スマートフォン専用ゲームは非常にクオリティが高く、Google　Play（旧Android　Market）上で高評価を獲得。グローバルでユーザー数を増やし続けています。代表取締役、サービス統括部取締役兼部長、サービス統括部執行役員は現役のエンジニアであり、エンジニアの方にも是非お勧めさせていただきたい企業です。,2008,10,50637,116,東京都,渋谷区恵比寿南1-15-1　A-PLACE恵比寿南3F,グラフィックからプロダクトまで、幅広いデザインワークを経験したい方にお薦めです。,永田,2012/5/10 11:16
1013996,1,0,ベンチャー,,1,,,,10,10,ITエンジニア,その他IT系,16,0,その他,,16,0,その他,,株式会社コロプラ,3DCGゲームグラフィッカー,スマートフォンゲームにおける、背景やアイテム、キャラクターデザインなどを担当していただきます。モデリングやモーション作成に加えて、ゲーム中に挟むイベントや演出のための短いアニメーション制作も担当していただきます。2DCGデザイナーと連携し、複数の開発ラインを担当しながら、プロジェクトのゲームグラフィックすべてに関わっていく仕事です。開発するゲームのテイストも世界観もゼロから生み出して開発していくため、何よりも大切なのは、ゼロの状態から企画としてあがったものを言葉で理解しグラフィックに投影できることです。ずれた認識を起こさないためにも、言葉から汲み取るコミュニケーション能力が大事になります。一般的なゲーム開発のような、指示通りデザインをしていく働き方ではなく、自ら積極的に発信していくことが求められます。,1年以上のゲーム業界経験がある方。Maya、Illustrator、Photoshopが使える方。ゲーム開発において3DCGでの制作経験がある方。アニメーションを制作できる方。ゲームが大好きな方。作品ポートフォリオを用意できる方。,UI周りが分かる方。キャラクターがかける方。世界観を構築できる方。,,,3年後、5年後のキャリアパスについてきちんとした考えを持っていて説明が出来る方。なにか1つでも絶対的に自信がある経験・スキルをお持ちの方。アンテナが高く、今後の業界についてご自身なりの考え方をお持ちの方。変化に適応できる方。先入観なく新しいことに取り組める方。,1年以上のゲーム業界での就労経験。,東京都,渋谷区,,,高卒以上,24,39,300,600,ビジネス拡大に伴う募集。,1003605,インターネット,"ケータイの位置情報（GPS）を利用した新感覚携帯コミュニケーションゲーム／プラットフォームを運営する2008年設立のベンチャー企業。2010年10月から始まった世界市場スマートフォン向けの新戦略も非常に好調で、2012年3月現在のプラットフォーム有効会員数は260万、スマートフォン専用ゲームインストールは300万DL、月間位置登録回数は約4,500万、月間PV数は約40億と急成長を続けています。",位置ゲーの楽しさをとおして「人々の生活をエンタテインメントにする」ことを社命としています。特産品を販売するリアルの店舗とのタイアップや、全国の鉄道・フェリー会社と提携して企画を行うなど、多彩な切り口からユーザーが楽しむことができる事業を創出。このオフラインリアル提携は拡大を続けています。また、位置情報を利用可能なプラットフォーム上では、外部パートナーによる位置情報ゲームがリリースされ、こちらも好調です。更に、スマートフォン専用ゲームは非常にクオリティが高く、Google　Play（旧Android　Market）上で高評価を獲得。グローバルでユーザー数を増やし続けています。代表取締役、サービス統括部取締役兼部長、サービス統括部執行役員は現役のエンジニアであり、エンジニアの方にも是非お勧めさせていただきたい企業です。,2008,10,50637,116,東京都,渋谷区恵比寿南1-15-1　A-PLACE恵比寿南3F,スマートフォンを通じてグローバルにグラフィックを発信したい方へお勧めです。,永田,2012/5/10 11:16
1013995,1,0,ベンチャー,,1,,,,10,10,ITエンジニア,その他IT系,16,0,その他,,16,0,その他,,株式会社コロプラ,2DCGゲームグラフィッカー,スマートフォンゲームにおける、背景やアイテム、キャラクターデザインなどを担当していただきます。ゲームに登場するほとんどのデザイン部分を任せます。また、3DCGデザイナーと連携し、素材提供なども行います。コンテンツに合わせて絵柄を作成できると、活躍の場が広がります。企画であがったものを言葉で理解し絵にできることも重要であり、ずれた認識を起こさないためにも、言葉から汲み取るコミュニケーション能力が大事になります。,1年以上のゲーム業界での就労経験がある方。Photoshop、Illustratorが使える方。ゲームデザイン経験がある方。コミュニケーション能力がある方。ゲームが好きな方。作品ポートフォリオを用意できる方。指示通りデザインをしていく働き方ではなく、自ら積極的に発信していける方。,UI周りが分かる方。キャラクターがかける方。世界観を構築できる方。,,,3年後、5年後のキャリアパスについてきちんとした考えを持っていて説明が出来る方。なにか1つでも絶対的に自信がある経験・スキルをお持ちの方。アンテナが高く、今後の業界についてご自身なりの考え方をお持ちの方。変化に適応できる方。先入観なく新しいことに取り組める方。,1年以上のゲーム業界での就労経験。,東京都,渋谷区,,,高卒以上,24,39,300,600,ビジネス拡大に伴う募集。,1003605,インターネット,"ケータイの位置情報（GPS）を利用した新感覚携帯コミュニケーションゲーム／プラットフォームを運営する2008年設立のベンチャー企業。2010年10月から始まった世界市場スマートフォン向けの新戦略も非常に好調で、2012年3月現在のプラットフォーム有効会員数は260万、スマートフォン専用ゲームインストールは300万DL、月間位置登録回数は約4,500万、月間PV数は約40億と急成長を続けています。",位置ゲーの楽しさをとおして「人々の生活をエンタテインメントにする」ことを社命としています。特産品を販売するリアルの店舗とのタイアップや、全国の鉄道・フェリー会社と提携して企画を行うなど、多彩な切り口からユーザーが楽しむことができる事業を創出。このオフラインリアル提携は拡大を続けています。また、位置情報を利用可能なプラットフォーム上では、外部パートナーによる位置情報ゲームがリリースされ、こちらも好調です。更に、スマートフォン専用ゲームは非常にクオリティが高く、Google　Play（旧Android　Market）上で高評価を獲得。グローバルでユーザー数を増やし続けています。代表取締役、サービス統括部取締役兼部長、サービス統括部執行役員は現役のエンジニアであり、エンジニアの方にも是非お勧めさせていただきたい企業です。,2008,10,50637,116,東京都,渋谷区恵比寿南1-15-1　A-PLACE恵比寿南3F,スマートフォンを通じてグローバルにグラフィックを発信したい方へお勧めです。,永田,2012/5/10 11:16
1014330,1,0,ハイクラス/ベンチャー,,1,,,,11,0,WEB・モバイル関連,,11,0,WEB・モバイル関連,,11,0,WEB・モバイル関連,,株式会社コロプラ,プラットフォームアライアンスプロデューサー,プラットフォーム上で、提携企業様との新しい位置ゲーを開拓・プロデュース・運営いただくポジションです。具体的には、●提供企業様の各位置ゲーの導線管理、プロモーション企画、イベント運用、●マネタイズのポイントを理解／分析し提携企業様に対してアドバイスいただきます。,モバイルコンテンツ業務経験（3年以上）。,ソーシャルゲームについて高い理解度をお持ちの方（例：イベント運用経験がある方、アプリごとのプロモーション経験がある方、マネタイズのポイントを理解／分析出来る方）。サイト運営経験があり分析能力が高い方（例：大規模サイトの運営経験がある方、設計フェーズから関わっていたコアな人材、UI、UXの知識が有る方）。,,,コミュニケーション能力が高い方（提携企業様などと面前協議が可能な方）。ディレクション能力が高い方（社内外のスケジュール調整を臨機応変に円滑調整が可能な方）。,モバイルコンテンツ業務経験。,東京都,渋谷区,,,高卒以上,24,39,360,960,業務拡大に伴う募集。,1003605,インターネット,"ケータイの位置情報（GPS）を利用した新感覚携帯コミュニケーションゲーム／プラットフォームを運営する2008年設立のベンチャー企業。2010年10月から始まった世界市場スマートフォン向けの新戦略も非常に好調で、2012年3月現在のプラットフォーム有効会員数は260万、スマートフォン専用ゲームインストールは300万DL、月間位置登録回数は約4,500万、月間PV数は約40億と急成長を続けています。",位置ゲーの楽しさをとおして「人々の生活をエンタテインメントにする」ことを社命としています。特産品を販売するリアルの店舗とのタイアップや、全国の鉄道・フェリー会社と提携して企画を行うなど、多彩な切り口からユーザーが楽しむことができる事業を創出。このオフラインリアル提携は拡大を続けています。また、位置情報を利用可能なプラットフォーム上では、外部パートナーによる位置情報ゲームがリリースされ、こちらも好調です。更に、スマートフォン専用ゲームは非常にクオリティが高く、Google　Play（旧Android　Market）上で高評価を獲得。グローバルでユーザー数を増やし続けています。代表取締役、サービス統括部取締役兼部長、サービス統括部執行役員は現役のエンジニアであり、エンジニアの方にも是非お勧めさせていただきたい企業です。,2008,10,50637,116,東京都,渋谷区恵比寿南1-15-1　A-PLACE恵比寿南3F,日本経済や地域活性化に貢献したい方にもお薦めです。,永田,2012/5/10 11:16
1014681,1,0,ベンチャー,,1,,,,8,4,営業,企画営業,8,7,営業,その他,16,0,その他,,株式会社コロプラ,事業開発職（店舗取材・企画・営業他）,ユーザーに「日本の良いもの」を紹介し、実際にその地域を旅してもらうことを推奨する事業に関する業務全般をお願いします。具体的には、●新たな提携店の選定と営業・開拓●提携決定後の事務処理（契約書締結など）及び取材（写真撮影(人物、物、風景など)、原稿執筆(3000字程度)、校正など。場合によってはライターの方への指示・編集業務など）、●当該事業に関する企画立案と実施・運用（ゲーム連動企画やキャンペーンなど）、●提携店へのケア（既存提携店からの相談や営業情報の管理など）、●当該事業の展開（今後の事業への新たな提案、新たな事業開発など）、に携わっていただきます。,大小問わず、これまでに中心になってプロジェクトをやり遂げたことがある方（※応募時課題あり）。雑誌及び書籍（種類は問わず）の取材や編集に携わったことがある方。【※応募時課題】これまでに担当されたプロジェクトについて、どのような考えのもと遂行されたかをA4におさまるサイズにまとめて提出する必要があります（詳細は別途お伝えします）,営業又は接客経験。旅行や食品などの取材や編集などの経験。たまにでもいいのでゲームをやる方。ディレクションができる方。カメラが好きな方。,,,フットワークが軽い方。人と接するのが苦手でない方。旅行好き、又は美味しいものを探すのが好きな方。食べ物や工芸品に通じている、又は、こだわりを持っている方。,営業又は接客経験。取材や編集などの経験。,東京都,渋谷区,,,高卒以上,25,35,300,600,業務拡大に伴う募集。,1003605,インターネット,"ケータイの位置情報（GPS）を利用した新感覚携帯コミュニケーションゲーム／プラットフォームを運営する2008年設立のベンチャー企業。2010年10月から始まった世界市場スマートフォン向けの新戦略も非常に好調で、2012年3月現在のプラットフォーム有効会員数は260万、スマートフォン専用ゲームインストールは300万DL、月間位置登録回数は約4,500万、月間PV数は約40億と急成長を続けています。",位置ゲーの楽しさをとおして「人々の生活をエンタテインメントにする」ことを社命としています。特産品を販売するリアルの店舗とのタイアップや、全国の鉄道・フェリー会社と提携して企画を行うなど、多彩な切り口からユーザーが楽しむことができる事業を創出。このオフラインリアル提携は拡大を続けています。また、位置情報を利用可能なプラットフォーム上では、外部パートナーによる位置情報ゲームがリリースされ、こちらも好調です。更に、スマートフォン専用ゲームは非常にクオリティが高く、Google　Play（旧Android　Market）上で高評価を獲得。グローバルでユーザー数を増やし続けています。代表取締役、サービス統括部取締役兼部長、サービス統括部執行役員は現役のエンジニアであり、エンジニアの方にも是非お勧めさせていただきたい企業です。,2008,10,50637,116,東京都,渋谷区恵比寿南1-15-1　A-PLACE恵比寿南3F,日本経済や地域活性化に貢献したい方などにお薦めです。,永田,2012/5/10 11:15
