"求人ID","Newフラグ","トピックスフラグ","テーマ","外資フラグ","ベンチャーフラグ","上場フラグ","リンク（面接官）","リンク（トピックス）","職種大分類コード1","職種中分類コード1","職種大分類名1","職種中分類名1","職種大分類コード2","職種中分類コード2","職種大分類名2","職種中分類名2","職種大分類コード3","職種中分類コード3","職種大分類名3","職種中分類名3","会社名（トピックス用）","職種名","職務内容","求めるスキル（必須条件）","求めるスキル（望ましい条件）","英語レベル","TOEIC","求める人物像","活かせる経験","都道府県1","市区町村1","都道府県2","市区町村2","学歴","年齢下限","年齢上限","年収下限","年収上限","募集背景","企業ID","業種カテゴリ","会社情報（紹介文）","会社情報（その他捕捉）","会社情報（設立）年","会社情報（設立）月","会社情報（資本金）万円","会社情報（従業員数）","企業県名","企業市区町村","ｺﾝｻﾙから一言","担当者","掲載日"
"1023464","1","1","ハイクラス/ベンチャー","","1","","","","15","00","金融関連","","15","00","金融関連","","15","00","金融関連","","株式会社キャピタルメディカ","投資事業担当者（投資事業本部配属）","投資事業本部に所属し、案件のソーシングから、実際の投資業務、その後の投資先企業の経営管理（バリューアップ）、EXITまでを一貫して実行。同社別事業である病院の再生・経営支援(ヘルスケア事業部)ではなく、投資です。プロジェクトによってはハンズオン型で経営管理を行っていただきます。【組織詳細】投資事業部においては同社グループの中で子会社に出向していただく形態になります（待遇、人事制度はキャピタルメディカ同様で差異は一切無し）。事業内容は大きく、(1)不動産事業：不動産の領域でよりよい投資機会を探索し、オフィス、レジデンス等の収益物件の取得や管理・運営(2)エネルギー事業：太陽光発電、地熱発電事業、その他再生可能エネルギー事業(3)その他投資事業：投資運用業、投資助言・代理業、運用助言など。また、別の子会社においては事業投資・再生支援コンサルティングを行っています。","・投資銀行、ファンド等の金融機関出身者（事業法人部門やフロント部門で一定以上の成果をあげている方）※会計士、不動産、不動産金融、金融系ご出身の方が多いです。","","------","","数字に強く、常に経営者としての目線で考え、判断できる方","ファイナンス・経営管理の知識経験、不動産金融業の経験","東京都","港区","","","大卒以上","30","40","700","1200","増員","1001187","その他金融","医療機関経営の高度化支援会社。医療機関に対する経営・運営ノウハウの提供：病院の事業競争力現状把握、事業戦略再検討。病院機能の再評価、地域における存在価値の向上。コスト構造のスリム化。実態債務超過を早期解消するための財務リストラクチャリング。経営が困窮した原因の除去と予防。事業遂行及び管理能力の強化。","医療機関再生分野でのリーディングカンパニーとなる事を目指し、既に事業再生市場での高い実績を収めている会計士、弁護士等専門家集団が中心となって2005年2月に設立。医療法人の再生支援、医業コンサルティング、不動産再生投資、債権投資、診療報酬の流動化を主な業務内容とする。事業領域として、経営が悪化した医療機関を対象とする再生支援スキームから、効率経営を行う医療機関のさらなる事業拡大のサポートまで広範囲にわたる。融資、コンサルだけでなく、その両方を「手段」として用いながら、リスクも責任も病院と共有し、経営そのものの永続性を目指す。","2005","2","1355500","100","東京都","港区虎ノ門1-2-3　虎ノ門清和ビル10F","事実上、病院経営に関与する形をとり、その過程で病院と一緒に生み出す形で新規事業も次々に設立。介護事業や臨床試験サポート事業、画像診断センターの運営等。今年から双日との業務提携も行い、アジア各国での事業展開も加速していきます。","高島","2014/11/06 15:46:26"
"1022807","1","1","ハイクラス","","","","","","02","01","ビジネスコンサルタント","経営戦略系","2","6","ビジネスコンサルタント","その他","15","00","金融関連","","株式会社ヤマトキャピタルパートナーズ","パートナー・ディレクター・アソシエイト","常駐型の経営コンサルティング（マネジメントサービス）、自社事業を含む投資事業、海外展開支援事業のいずれかをお任せします。経営者として必要とされる、経営スキル、投資スキル、ファイナンススキルを全て身に付けらえれるように様々な案件に携わる形式を取っています。","以下のようなバックグラウンドをお持ちの方。戦略系コンサルティングファーム出身者。外資系投資銀行出身者。メーカーでの経営企画、マーケティング経験者。総合商社出身者。人材排出企業と言われる有名企業に在籍している方など。","","スタンダードレベル","","「アジアを率いる経営者」となるために必要とされる要件を常に意識し、現状とのギャップを埋めるための最大限の努力をしつづけられる方。クライアント事業であろうと、投資を伴う自社事業であろうと、365日24時間、その事業のことを考え続ける気概を持ち、常にビジネスオーナーの目線で業務に取り組むことが出来る方。","コンサルティング、投資、経理企画、マーケティングなど。","東京都","港区","海外","","大卒以上","25","35","600","1500","事業拡大に伴う、増員。","1005194","戦略コンサルティングファーム","経営・ファイナンス・マーケティングの3つの領域においてアドバイザリーサービスを提供する「マネジメントサービス事業」と、中小・新興企業に対してリスクマネーを提供する「投資事業」、そして、クライアント及び投資先の海外展開を支える「海外展開支援事業」の3事業を展開しています。","「ニッポンが胸を張れるニッポンへ」をビジョンに創業。日本の中堅・新興企業に対してリスクマネーの提供及び経営人材の派遣を手掛ける。2013年より、高まる海外展開の需要に対応するためアジア各地に拠点を設置。全てのクライアント企業様、投資先企業、また社員自らの成長に真摯に向き合い、アジアを牽引する経営者を輩出し、社会に貢献できる会社を目指す。社長は東大法学部卒。ゴールドマンサックスを経て、29歳で起業。その他のメンバーは、外資系投資銀行、BCG、マッキンゼー、P&G、経産省出身などで、錚々たる優秀な面々が集まっています。","2011","8","2980","35","東京都","港区南青山1-1-1　新青山ビル西館23F","若手に対してプロ経営者を養成するプラットフォームを作ることを目指しています。","入江","2014/11/06 15:46:21"
"1005603","1","1","ハイクラス","","","","","","15","00","金融関連","","02","05","ビジネスコンサルタント","金融戦略","15","00","金融関連","","インテグラル株式会社","投資プロフェッショナル","投資案件の実行推進。＜投資アプローチ＞（1）非上場・上場企業のエクイティへの投資を行います。普通株に加えて、転換権付優先株、転換社債、新株予約権等エクイティ性のあるものが対象となります。（2）対象企業の全株を取得するMBO・LBOからマイノリティ投資まで幅広く対応します。（3）対象業界についての制約はありません。","M&Aや投資関連の金融バックグラウンドの方。若手であれば戦略コンサル経験のみでも、今後モデリング等のファイナンス方面に積極的に関わりたい方は対象となります。※ＰＥ投資等の投資業務、投資銀行業務（M&A、エクイティ・デット・ファイナンス、等）、会計・税務（デューディリジェンス、監査、等）、経営コンサルティング、企業再生、経営企画業務等の実務経験。","以下のような方に参画して頂きたいと考えています。新しいコンセプトの投資会社を創造していきたいという熱い思いを持った方。投資会社として、ファイナンス、経営に新たな革新を生む英知・アイデアを持った方。投資先等ステークホルダーの立場を理解し、同じ目線で考え行動が出来る方。チームワークを重視し臨機応変に基本・現場から仕事が出来る人。","","","経営理念に対する十分な理解と完全な賛同して頂ける方。ハートのある信頼関係を築ける方。","投資業務、経営関連業務。","東京都","千代田区","","","大卒以上","25","35","800","1500","事業拡大の伴う、増員。","1002393","その他金融","経営理念『Trusted　Investor』に相応しい、経営陣との信頼関係を礎にし、長期的視野に立ってエクイティ投資を行います。投資後は『経営と同じ目線・時間軸』をもって投資先企業とともに歩み、企業価値向上に向けて経営・財務の両面でのサポートを行います。","同社は2007年9月の創業後、第1号ファンドを投資事業有限責任組合と自己資金を組み合わせた独自の「ハイブリッド投資」による投資活動を行ってこられました。その実績を踏まえ、2013年9月より第2号ファンドの運用を開始します。独立系M&Aアドバイザリーファームのグループ企業で、M&Aの第一人者をはじめ、国内外の大型案件を数多く手がけてきた実績を持つパートナー陣を中心に、M&A実務に精通した専門家が集まっています。最高のノウハウを持ち、国内の大型案件からクロスボーダー案件まで幅広く手掛ける。また、独立系の為、クライアントの企業価値増大にとって障害となる利益相反が一切なく、クライアントの最善の利益の為にアドバイザリーサービスを提供出来る特徴がある。グループ会社が米国系投資銀行と統合。クロスボーダーM&A案件の対応能力を拡充し、真のグローバルインベストメントバンクを目指す。","2007","9","","13","東京都","千代田区丸の内二丁目1番1号　明治安田生命ビル19F","理念に共感出来る方、ハートのある方を求めています。","入江","2014/11/06 15:46:15"
"1008269","1","1","ハイクラス","","","","","","15","00","金融関連","","02","01","ビジネスコンサルタント","経営戦略系","02","06","ビジネスコンサルタント","その他","日本産業パートナーズ株式会社","ヴァイスプレジデント","（1）投資担当：投資先の発掘から投資実行まで。（2）ポートフォリオ担当：投資実行後のバリューアップ計画から実際の実行支援。※（1）、（2）でチームが分かれていて、これまでの経験、スキルによって担当業務を決定します。投資担当からポートフォリオ担当に移るケースはあり。","（1）投資銀行でM&A経験者。（2）戦略コンサルティング経験者で戦略からインプリまで経験されている方。","","","","マネードリブンではなく、長期で投資先の再生業務に取り組んでいきたい方。","M&A経験、もしくは戦略コンサル経験。","東京都","千代田区","","","大卒以上","27","35","1300","2000","事業拡大に伴う、増員。","1003137","その他金融","日本企業の事業再編に特化したファンドの運営会社。日本の事業会社において積極的に事業再編を実行される際のリスクキャピタルや各種経営資源の提供をするべく設立される。","元興銀の投資銀行部門のメンバーが中心。その他外資系投資銀行、コンサルティングファーム出身者が在籍している。設立以降、順調に投資活動を実行できていて、第一号ファンド（100億弱）はEXIT済み、第二号ファンド（約300億）は投資完了、現在は第三号ファンドの組成中。日本企業の経営環境は、業界構造の変化、グローバルな競争、技術革新、規制緩和などから、大きく変化している。日本企業は事業構造変革の必要性を自覚しており、事業を選択・集中し、事業再編を行いたいというニーズは高い。そのような事業にリスクマネーを提供し、事業価値向上を支援するのが同社である。同社が得意とする戦略的カーブアウトとは、潜在的成長力のある事業を分社化することである。既存企業の経営資源や組織体制下では可能性を十分に活用できない事業も、仕組み（事業構造）を変えることにより大きな発展が可能となる。そのためにはリスクキャピタルが有効となるケースもある。ノンコア事業部門ゆえの弊害（事業リスクがとれない、意思決定が遅い、人材面での不備など）をはっきりと認識し、事業が持つ潜在的な価値を発揮させる。<BR>","2002","11","","30","東京都","千代田区丸の内2-1-1　明治安田生命ビル15階","製造業向けの戦略コンサル経験者、もしくは投資銀行でのM&A経験者を求めています。","入江","2014/11/06 15:46:04"
"1015558","1","1","ハイクラス","","","","","","15","00","金融関連","","15","00","金融関連","","02","01","ビジネスコンサルタント","経営戦略系","株式会社産業革新機構","投資事業グループ【アソシエイト～ディレクター】","事業投資に関わる業務全般。案件の選別、事業分析・バリュエーション、投資実行、投資後のバリューアップ等。ご経験に応じてポジション、役割を決定します。投資案件が増えてきているため、投資先に入り込んでバリューアップに貢献できる人材のニーズも高まっています。","戦略コンサルティングファームでの実務経験。もしくは投資案件（中規模以上、社内メンバー4，5名のマネジメント）のヘッドポジションでのスキーム策定からバリュエーション、ハンズオン支援の経験。","ビジネス英語力。将来像を見据えて、企業の事業計画を分析し、自ら成長戦略の立案が出来る方。コスト削減による改善だけでなく、国内外の売上ＵＰによる企業価値増大に寄与できる方。具体的な案件シーズをお持ちの方、尚可。","スタンダードレベル","","チームプレーのできる方。経営課題を発見し、自ら仮説立案を立て、周囲を巻き込んで事業を推進できる方。","戦略コンサルティングの経験","東京都","千代田区","","","大卒以上","30","45","1000","1800","増員","1003149","その他","産業活力の再生及び産業活動の革新に関する特別措置法（産業再生法）に基づき設立された官民出資の投資ファンド。官民が合わせて1020億円を出資している。内訳は政府が920億円、民間企業100億円。また機構が金融機関から資金調達をする場合は8000億円の政府保証をつけられる為、1兆円ファンドと言われています。","民間のファンド会社とは異なるスタンスで投資を行っています。オープンイノベーションを通じた次世代の国富を担う産業を創出するという目的を達成すべく活動しています。平成24年時点で13件の投資を決定し、合計2,669億円の投資を実行。このなかで、アーリーステージ、ベンチャー企業、地域の中小企業の海外展開支援、大企業の事業再編・統合、日本企業による海外企業の買収支援等、幅広い事業ステージ・事業形態の案件に対して投資を実行。また、分野別にみれば、当面注力している環境・エネルギー、IT・エレクトロニクス、バイオ・ライフサイエンス及びインフラサービスに加えて、ものづくりやクール・ジャパンの分野においても投資しています。<BR><BR>","2009","7","","70","東京都","千代田区丸の内1-4-1　丸の内永楽ビルディング21階","支援先も増えてきて、まさにハンズオンで企業の成長に関わることが出来る方を探しております。","細野","2014/11/06 15:46:00"
"1005658","1","1","ハイクラス","","","","","","15","00","金融関連","","15","00","金融関連","","02","05","ビジネスコンサルタント","金融戦略","ユニゾン・キャピタル株式会社","アソシエイト","プライベート・エクイティ投資。投資対象案件の発掘、デューデリジェンス、投資実行、バリューアップ、エグジットまで一連の工程を担当して頂きます。","投資銀行業務経験者、戦略コンサルティング経験者等のプロフェッショナル。","","","","プライベート・エクイティをなぜやりたいのかが明確で、自分のビジョンをしっかり持っている方。","投資業務、戦略コンサルティング業務など。","東京都","千代田区","","","大卒以上","28","35","800","1300","長期的な事業拡大、維持に向けて、継続的に採用を行っています。","1002433","その他金融","日本におけるバイアウト投資のパイオニア。独立系のファンドとして、大手金融機関、事業会社などの系列属していない。ファンドのサイズは2004年に組成されたファンドが750億、2007年には600億のファンドを組成するなど、業界トップ水準。国内のパイオニアとして数多くの投資実績を持ち、金融機関、コンサルティングファームなど広範囲なプロ集団とネットワークを築いている。","少数精鋭のプロフェッショナル集団。外資系金融機関、戦略ファーム出身が大半を占める。選考においては、PEファンドは本気でやりたいのかどうかを非常に大事にしている。基本的には社員全員と面接を行い、お互いにしっかり理解した上で入社していただくスタンスを持っている。","1998","10","10000","20","東京都","千代田区紀尾井町4番1号　ニューオータニガーデンコート9F","PEファンドのパイオニア企業です。","入江","2014/11/06 15:45:56"
"1012457","1","1","ハイクラス","","","","","","15","00","金融関連","","15","00","金融関連","","02","03","ビジネスコンサルタント","会計・財務系","日本産業パートナーズ株式会社","アソシエイト","（1）投資担当：投資先の発掘から投資実行まで。（2）ポートフォリオ担当：投資実行後のバリューアップ計画から実際の実行支援。※（1）、（2）でチームが分かれていて、これまでの経験、スキルによって担当業務を決定します。投資担当からポートフォリオ担当に移るケースはあり。","投資銀行でM&A経験者。M&Aアドバイザリー経験者。FAS系の会社で、財務デューデリジェンス、ビジネスデューデリジェンス、バリュエーションの経験者。戦略コンサルティング会社でビジネスデューデリジェンスの経験者。","","","","PE投資のビジネスをきちんと理解して、日本のPE投資ビジネスの展望を語れる方。マネードリブンではなく、長期で投資先の再生業務に取り組んでいきたい方。","M&A関連の経験","東京都","千代田区","","","大卒以上","27","30","600","900","事業拡大に伴う、増員。","1003137","その他金融","日本企業の事業再編に特化したファンドの運営会社。日本の事業会社において積極的に事業再編を実行される際のリスクキャピタルや各種経営資源の提供をするべく設立される。","元興銀の投資銀行部門のメンバーが中心。その他外資系投資銀行、コンサルティングファーム出身者が在籍している。設立以降、順調に投資活動を実行できていて、第一号ファンド（100億弱）はEXIT済み、第二号ファンド（約300億）は投資完了、現在は第三号ファンドの組成中。日本企業の経営環境は、業界構造の変化、グローバルな競争、技術革新、規制緩和などから、大きく変化している。日本企業は事業構造変革の必要性を自覚しており、事業を選択・集中し、事業再編を行いたいというニーズは高い。そのような事業にリスクマネーを提供し、事業価値向上を支援するのが同社である。同社が得意とする戦略的カーブアウトとは、潜在的成長力のある事業を分社化することである。既存企業の経営資源や組織体制下では可能性を十分に活用できない事業も、仕組み（事業構造）を変えることにより大きな発展が可能となる。そのためにはリスクキャピタルが有効となるケースもある。ノンコア事業部門ゆえの弊害（事業リスクがとれない、意思決定が遅い、人材面での不備など）をはっきりと認識し、事業が持つ潜在的な価値を発揮させる。<BR>","2002","11","","30","東京都","千代田区丸の内2-1-1　明治安田生命ビル15階","今はソーシング方面で活躍して頂ける方を求めています。","入江","2014/11/06 15:45:51"
"1021967","1","1","ハイクラス/外資系","1","","非公開","","","02","01","ビジネスコンサルタント","経営戦略系","2","6","ビジネスコンサルタント","その他","","","","","ベインキャピタル・アジア・LLC","ディールグループ投資担当者（アソシエイト、シニアアソシエイト","「戦略立案・実行」と「資本提供」の両面から投資企業の経営をサポートすることで、企業の事業価値向上と企業進化を実現します。投資先企業がEXIT後も経営陣・現場の方々へのさまざまな支援・コンサルティングを通じて、競争力を維持できるよう多面的なお手伝いを実行します。","戦略コンサルティングファームにおいて、卓越したご実績のある方、もしくは投資銀行で卓越したご実績のある方。","","ビジネスレベル","","行動規範を理解し実行できるプロフェッショナル。","事業会社の経営戦略部門において、圧倒的に高い業績をあげられたご経験。MBA留学経験。","東京都","千代田区","","","大卒以上","27","32","2000","2400","体制強化のため","1005141","ベンチャーキャピタル","ベインキャピタルは、「戦略立案・実行」と「資本提供」という両面からサポートすることで、企業の事業価値向上と企業進化を実現します。我々は投資を実行した企業がベインキャピタルから離れたあとも経営陣・現場の方々へのさまざまな支援・コンサルティングを通じて、競争力を維持できるよう多面的なお手伝いを実行します。","1984年の設立以来、ベインキャピタルは９つのプライベートエクイティファンドを展開してきました。日本国内での実績は下記の通りです。サンテレホン株式会社／D&Mホールディングス／株式会社ドミノ・ピザジャパン／MEI,Inc.／株式会社日本コンラックス／株式会社ベルシステム２４／株式会社マクロミル","2006","","","30","東京都","千代田区丸の内1‐1‐1　パレスビル５F","投資先の事業価値向上のために、単なる資本の供出にとどまらず、経営戦略の立案から実行・管理に至る支援を通じて、経営陣に付加価値を提供。","棚澤","2014/11/06 15:45:47"
"1022419","1","1","ベンチャー","","1","非公開","","","15","00","金融関連","","15","00","金融関連","","","","","","GMOVenturePartners株式会社","投資・ハンズオン担当","次世代有望なＩＴ企業の発掘、投資、およびハンズオンコンサル。入社後は現在投資済みの企業も幾つか担当していただきつつ、新たな投資対象企業発掘も行ってもらいます。投資先ににかなり入り込んで行くのが同社のこだわりですので、ビジネスを作る力が必要です。","ＩＴ業界の知識必須。ベンチャーキャピタル、エクイティファイナンス、投資銀行経験。もしくは新規事業立上げ、子会社設立、上場会社コーポレートファイナンスの経験者、戦略・ビジネス・ITコンサルティングファームいずれか経験者。","","ビジネスレベル","","ベンチャーマインド。行動力のある方。","ＶＣ経験","東京都","渋谷区","","","大卒以上","25","34","400","800","増員","1002789","ベンチャーキャピタル","国内外の上場・未上場のIT系ベンチャー企業への投資、事業拡大支援、企業価値向上支援事業。インターネット系ベンチャー向けにかなり入りこんだ事業サポートをしております。<BR>","","2005","9","21000","6","東京都","渋谷区桜丘町２６番１号　セルリンアンタワー","インターネットに特化することでより深いハンズオンを実現しています。","細野","2014/11/06 15:45:42"
"110997","1","1","ハイクラス","","","","","","3","0","経営企画・事業企画","","02","06","ビジネスコンサルタント","その他","03","00","経営企画・事業企画","","グローバル・ブレイン株式会社","インキュベーション事業コンサルタント","ベンチャー企業、アーリーステージの企業の成長加速化のために、日々の経営に深く関与した支援を行います。具体的業務としては、経営戦略の立案、資金調達支援、資本政策の立案、営業戦略の立案及び実行支援などで大体２、３社を受け持ち５年ほどの間、はりつきで仕事をするスタイルです。ベンチャー企業及びベンチャー企業経営者を徹底的に支援していきます。株式公開、会計、経営戦略、IT等の特定分野のスキルだけではなく、幅広い知識、人間関係調整能力、精神力、企業家精神、人間性が要求されます。","IT系の事業会社で「経営企画」「新規事業」等の業務に従事していて成功体験をしっかりと持っている方。あるいはVCで投資案件の発掘、投資、育成を行っている方。財務諸表が読めて、現場志向の方","","","","熱い気持ちで企業の経営者を支援できる方","IT、インターネット、通信、メディア等の企業で経営企画・事業企画をしっかりと行っている方","東京都","港区","","","大卒以上","30","35","700","1500","増員","210159","ベンチャーキャピタル","シードやアーリーステージのベンチャー企業を対象に出資だけでなくビジネスモデルの構築、営業体制、販売プロセスの構築、経営幹部の採用などを徹底的に支援しベンチャー企業の成長の加速化をお手伝いしているベンチャーキャピタルです。","株式公開のみでなく、東証一部上場やグローバル企業への転換まで長いお付き合いをしながらベンチャー企業の育成をパートナーとして行なっています。数あるベンチャーキャピタルの中でも長期的に相当のハンズオン型で支援を行っている企業です。社長は京都大学法学部卒、富士銀行現みずほ銀行、シティバンクエヌエイのバイスプレジデントを経て同社を設立。設立当初はオーナー系上場企業等に対してグループ企業の経営戦略の構築や実行支援、新規事業戦略の立案やＭ＆Ａ等の実行支援、買収子会社の再生、株式公開支援の事業を行っていたが２０００年に森トラスト株式会社様と共同でベンチャー企業向け投資事業組合ＧＶ－Ⅰ及びインキュベーションセンターを設立したことを皮切りにアーリーステージのベンチャー企業をハンズオンで支援するベンチャーキャピタル事業にシフトしています。現在では、専業でベンチャーキャピタル事業を展開し世界に通用するベンチャーキャピタルを目指しています。起業家教育や社会起業家への支援等活動にも力を注いでいる<BR>","1998","1","10000","30","東京都","港区北青山3-2-4　日新青山ビル9階","特にベンチャー支援がしたいと考えている、経営にしっかり入りたいとお考えの経営戦略ファームご出身者はぜひお気軽にお問合せください。","岡田","2014/11/06 15:45:37"
